,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,Men Estimate,Men Percent of total,Women Estimate,Women Percent of total,Poverty universe,Below poverty level Estimate,Below poverty level Percent of total
176,LA-3,LA,Louisiana,3,577604,275886,47.8,301718,52.2,566763,86760,15.3
177,LA-4,LA,Louisiana,4,559310,272704,48.8,286606,51.2,540960,104441,19.3
178,LA-5,LA,Louisiana,5,555804,274214,49.3,281590,50.7,513602,103696,20.2
179,LA-6,LA,Louisiana,6,585015,276949,47.3,308066,52.7,575426,60246,10.5
180,ME-1,ME,Maine,1,546625,262366,48.0,284259,52.0,533126,46725,8.8
181,ME-2,ME,Maine,2,524036,256001,48.9,268035,51.1,509879,67713,13.3
182,MD-1,MD,Maryland,1,567926,274632,48.4,293294,51.6,552884,42578,7.7
183,MD-2,MD,Maryland,2,560167,260668,46.5,299499,53.5,543593,51775,9.5
184,MD-3,MD,Maryland,3,545892,264371,48.4,281521,51.6,528919,36310,6.9
185,MD-4,MD,Maryland,4,503398,233987,46.5,269411,53.5,499442,29106,5.8
186,MD-5,MD,Maryland,5,556897,266835,47.9,290062,52.1,538164,32040,6.0
187,MD-6,MD,Maryland,6,523698,256158,48.9,267540,51.1,503145,41902,8.3
188,MD-7,MD,Maryland,7,528398,244249,46.2,284149,53.8,509441,70189,13.8
189,MD-8,MD,Maryland,8,533774,255084,47.8,278690,52.2,525419,27438,5.2
190,MA-1,MA,Massachusetts,1,568024,266490,46.9,301534,53.1,546653,65836,12.0
191,MA-2,MA,Massachusetts,2,558962,269755,48.3,289207,51.7,522617,45937,8.8
192,MA-3,MA,Massachusetts,3,543580,267058,49.1,276522,50.9,529486,45122,8.5
193,MA-4,MA,Massachusetts,4,559943,264258,47.2,295685,52.8,538159,33098,6.2
194,MA-5,MA,Massachusetts,5,535109,254313,47.5,280796,52.5,513186,30239,5.9
195,MA-6,MA,Massachusetts,6,577241,273324,47.4,303917,52.6,562214,40491,7.2
196,MA-7,MA,Massachusetts,7,558430,261887,46.9,296543,53.1,516378,78640,15.2
197,MA-8,MA,Massachusetts,8,561241,271141,48.3,290100,51.7,547326,34217,6.3
198,MA-9,MA,Massachusetts,9,573274,272549,47.5,300725,52.5,562197,47427,8.4
199,MI-1,MI,Michigan,1,564858,286708,50.8,278150,49.2,546107,65586,12.0
200,MI-2,MI,Michigan,2,551323,270056,49.0,281267,51.0,534886,55290,10.3
201,MI-3,MI,Michigan,3,551028,269805,49.0,281223,51.0,537073,55617,10.4
202,MI-4,MI,Michigan,4,554938,275776,49.7,279162,50.3,531080,71584,13.5
203,MI-5,MI,Michigan,5,520558,249502,47.9,271056,52.1,515340,80779,15.7
204,MI-6,MI,Michigan,6,541981,263696,48.7,278285,51.3,531118,64711,12.2
205,MI-7,MI,Michigan,7,548462,271940,49.6,276522,50.4,528311,48683,9.2
206,MI-8,MI,Michigan,8,554462,270121,48.7,284341,51.3,536158,50669,9.5
207,MI-9,MI,Michigan,9,552114,266809,48.3,285305,51.7,547797,58611,10.7
208,MI-10,MI,Michigan,10,553804,272084,49.1,281720,50.9,547765,49350,9.0
209,MI-11,MI,Michigan,11,534817,258134,48.3,276683,51.7,529991,31151,5.9
210,MI-12,MI,Michigan,12,526943,255173,48.4,271770,51.6,509760,71305,14.0
211,MI-13,MI,Michigan,13,474739,220128,46.4,254611,53.6,469472,115844,24.7
212,MI-14,MI,Michigan,14,512851,237874,46.4,274977,53.6,504057,86226,17.1
213,MN-1,MN,Minnesota,1,500330,247189,49.4,253141,50.6,482916,47096,9.8
214,MN-2,MN,Minnesota,2,511914,247867,48.4,264047,51.6,503107,27606,5.5
215,MN-3,MN,Minnesota,3,517834,251195,48.5,266639,51.5,514568,23532,4.6
216,MN-4,MN,Minnesota,4,510862,243687,47.7,267175,52.3,496836,46437,9.3
217,MN-5,MN,Minnesota,5,517155,256364,49.6,260791,50.4,503118,61661,12.3
218,MN-6,MN,Minnesota,6,525551,264594,50.3,260957,49.7,515433,32509,6.3
219,MN-7,MN,Minnesota,7,495727,245413,49.5,250314,50.5,482844,45244,9.4
220,MN-8,MN,Minnesota,8,527541,266984,50.6,260557,49.4,512566,58844,11.5
221,MS-1,MS,Mississippi,1,577880,274187,47.4,303693,52.6,559338,74040,13.2
222,MS-2,MS,Mississippi,2,523479,246408,47.1,277071,52.9,496061,101273,20.4
223,MS-3,MS,Mississippi,3,559913,263747,47.1,296166,52.9,539427,94524,17.5
224,MS-4,MS,Mississippi,4,579386,278636,48.1,300750,51.9,560746,97084,17.3
225,MO-1,MO,Missouri,1,549361,253168,46.1,296193,53.9,534195,86150,16.1
226,MO-2,MO,Missouri,2,575828,272618,47.3,303210,52.7,565960,24873,4.4
227,MO-3,MO,Missouri,3,602748,295360,49.0,307388,51.0,585685,43942,7.5
228,MO-4,MO,Missouri,4,584925,289078,49.4,295847,50.6,553519,79363,14.3
229,MO-5,MO,Missouri,5,573775,274276,47.8,299499,52.2,563867,62939,11.2
230,MO-6,MO,Missouri,6,583457,287409,49.3,296048,50.7,558571,50539,9.0
231,MO-7,MO,Missouri,7,595559,287998,48.4,307561,51.6,578418,81695,14.1
232,MO-8,MO,Missouri,8,567717,280877,49.5,286840,50.5,545199,87592,16.1
233,MT-At-large,MT,Montana,At-large,823668,413026,50.1,410642,49.9,804355,97803,12.2
234,NE-1,NE,Nebraska,1,473676,236555,49.9,237121,50.1,457270,45705,10.0
235,NE-2,NE,Nebraska,2,467041,226651,48.5,240390,51.5,456667,41176,9.0
236,NE-3,NE,Nebraska,3,439543,216125,49.2,223418,50.8,424327,43757,10.3
237,NV-1,NV,Nevada,1,418811,211011,50.4,207800,49.6,412668,75734,18.4
238,NV-2,NV,Nevada,2,531489,268234,50.5,263255,49.5,521800,45749,8.8
239,NV-3,NV,Nevada,3,607915,298190,49.1,309725,50.9,606083,42769,7.1
240,NV-4,NV,Nevada,4,516951,258915,50.1,258036,49.9,505533,55887,11.1
241,NH-1,NH,New Hampshire,1,540224,265533,49.2,274691,50.8,523141,35655,6.8
242,NH-2,NH,New Hampshire,2,529588,260293,49.2,269295,50.8,510009,33260,6.5
243,NJ-1,NJ,New Jersey,1,542034,258989,47.8,283045,52.2,533571,53128,10.0
244,NJ-2,NJ,New Jersey,2,531339,257404,48.4,273935,51.6,513349,49849,9.7
245,NJ-3,NJ,New Jersey,3,570276,276793,48.5,293483,51.5,558203,30679,5.5
246,NJ-4,NJ,New Jersey,4,539643,253208,46.9,286435,53.1,533840,31194,5.8
247,NJ-5,NJ,New Jersey,5,527932,252797,47.9,275135,52.1,517601,22025,4.3
