Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , 18-29 Age Estimate , 18-29 Age  Margin of error (MOE) , Age 18-29 Percent of total , 18-29 Age Percent of total margin of error (MOE) , 30-44 Age Estimate , 30-44 Age Margin of error (MOE) , 30-44 Age Percent of total , 30-44 Age Percent of total margin of error (MOE) , 45-64 Age Estimate , 45-64 Age Margin of error (MOE) , 45-64 Age Percent of total , 45-64 Age Percent of total margin of error (MOE) , 65+ Age Estimate , 65+ Age Margin of error (MOE) , 65+ Age Percent of total , 65+ Age Percent of total margin of error (MOE) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,MN,Minnesota,8," 527,541 "," 1,381 "," 92,761 "," 1,329 ", 17.6 , 0.2 ," 112,017 "," 1,223 ", 21.2 , 0.2 ," 185,789 "," 1,349 ", 35.2 , 0.2 ," 136,974 ", 799 , 26.0 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,MS,Mississippi,1," 577,880 "," 2,748 "," 126,850 "," 2,392 ", 22.0 , 0.4 ," 136,703 "," 2,524 ", 23.7 , 0.4 ," 193,135 "," 2,700 ", 33.4 , 0.5 ," 121,192 "," 1,696 ", 21.0 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,MS,Mississippi,2," 523,479 "," 4,699 "," 117,121 "," 3,172 ", 22.4 , 0.5 ," 123,974 "," 3,576 ", 23.7 , 0.7 ," 175,829 "," 3,526 ", 33.6 , 0.6 ," 106,555 "," 2,294 ", 20.4 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,MS,Mississippi,3," 559,913 "," 5,338 "," 120,854 "," 3,571 ", 21.6 , 0.6 ," 140,729 "," 4,217 ", 25.1 , 0.8 ," 175,562 "," 4,580 ", 31.4 , 0.7 ," 122,768 "," 2,775 ", 21.9 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,MS,Mississippi,4," 579,386 "," 3,131 "," 125,374 "," 3,586 ", 21.6 , 0.6 ," 142,348 "," 3,315 ", 24.6 , 0.5 ," 189,661 "," 2,956 ", 32.7 , 0.5 ," 122,003 "," 2,136 ", 21.1 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,MO,Missouri,1," 549,361 "," 6,958 "," 130,558 "," 3,684 ", 23.8 , 0.6 ," 139,392 "," 3,640 ", 25.4 , 0.6 ," 173,891 "," 4,487 ", 31.7 , 0.6 ," 105,520 "," 3,059 ", 19.2 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,MO,Missouri,2," 575,828 "," 8,830 "," 93,035 "," 4,368 ", 16.2 , 0.7 ," 129,833 "," 5,531 ", 22.5 , 0.9 ," 210,481 "," 5,686 ", 36.6 , 0.8 ," 142,479 "," 3,415 ", 24.7 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,MO,Missouri,3," 602,748 "," 6,241 "," 113,183 "," 3,393 ", 18.8 , 0.5 ," 148,292 "," 4,310 ", 24.6 , 0.6 ," 213,686 "," 3,878 ", 35.5 , 0.6 ," 127,587 "," 2,434 ", 21.2 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,MO,Missouri,4," 584,925 "," 4,248 "," 140,461 "," 2,852 ", 24.0 , 0.4 ," 129,155 "," 2,398 ", 22.1 , 0.4 ," 185,648 "," 2,666 ", 31.7 , 0.4 ," 129,661 "," 1,992 ", 22.2 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,MO,Missouri,5," 573,775 "," 5,681 "," 127,201 "," 3,338 ", 22.2 , 0.5 ," 142,534 "," 3,285 ", 24.8 , 0.5 ," 185,355 "," 3,276 ", 32.3 , 0.5 ," 118,685 "," 2,545 ", 20.7 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,MO,Missouri,6," 583,457 "," 5,275 "," 112,443 "," 3,299 ", 19.3 , 0.5 ," 141,987 "," 3,215 ", 24.3 , 0.5 ," 201,080 "," 3,121 ", 34.5 , 0.5 ," 127,947 "," 2,815 ", 21.9 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,MO,Missouri,7," 595,559 "," 2,710 "," 128,623 "," 1,625 ", 21.6 , 0.3 ," 136,612 "," 2,057 ", 22.9 , 0.3 ," 192,439 "," 1,808 ", 32.3 , 0.3 ," 137,885 "," 1,534 ", 23.2 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,MO,Missouri,8," 567,717 "," 3,947 "," 105,465 "," 2,208 ", 18.6 , 0.3 ," 124,173 "," 2,204 ", 21.9 , 0.4 ," 198,629 "," 3,032 ", 35.0 , 0.4 ," 139,450 "," 2,124 ", 24.6 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,MT,Montana,At-large," 823,668 "," 2,462 "," 162,487 "," 2,278 ", 19.7 , 0.3 ," 190,761 "," 2,375 ", 23.2 , 0.3 ," 270,899 "," 2,319 ", 32.9 , 0.3 ," 199,521 "," 1,261 ", 24.2 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,NE,Nebraska,1," 473,676 "," 3,971 "," 115,814 "," 2,308 ", 24.5 , 0.4 ," 111,892 "," 2,528 ", 23.6 , 0.5 ," 147,670 "," 2,597 ", 31.2 , 0.5 ," 98,300 "," 1,794 ", 20.8 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,NE,Nebraska,2," 467,041 "," 4,132 "," 98,743 "," 1,798 ", 21.1 , 0.3 ," 130,827 "," 2,258 ", 28.0 , 0.4 ," 152,604 "," 2,191 ", 32.7 , 0.4 ," 84,867 "," 1,138 ", 18.2 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,NE,Nebraska,3," 439,543 "," 3,065 "," 81,629 "," 1,733 ", 18.6 , 0.3 ," 95,106 "," 1,974 ", 21.6 , 0.4 ," 144,924 "," 1,863 ", 33.0 , 0.4 ," 117,884 "," 1,369 ", 26.8 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,NV,Nevada,1," 418,811 "," 10,703 "," 102,489 "," 5,907 ", 24.5 , 1.2 ," 97,757 "," 5,784 ", 23.3 , 1.3 ," 128,524 "," 5,511 ", 30.7 , 1.1 ," 90,041 "," 4,518 ", 21.5 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,NV,Nevada,2," 531,489 "," 4,280 "," 108,295 "," 1,929 ", 20.4 , 0.3 ," 122,316 "," 2,817 ", 23.0 , 0.5 ," 178,178 "," 3,126 ", 33.5 , 0.5 ," 122,700 "," 1,765 ", 23.1 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,NV,Nevada,3," 607,915 "," 11,250 "," 114,455 "," 6,584 ", 18.8 , 0.9 ," 165,543 "," 6,354 ", 27.2 , 1.0 ," 201,412 "," 5,620 ", 33.1 , 0.8 ," 126,505 "," 4,506 ", 20.8 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,NV,Nevada,4," 516,951 "," 10,773 "," 107,683 "," 5,770 ", 20.8 , 1.0 ," 129,145 "," 5,165 ", 25.0 , 0.9 ," 170,032 "," 6,127 ", 32.9 , 1.0 ," 110,091 "," 4,600 ", 21.3 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,NH,New Hampshire,1," 540,224 "," 4,909 "," 111,039 "," 3,042 ", 20.6 , 0.5 ," 117,000 "," 2,965 ", 21.7 , 0.6 ," 193,985 "," 4,177 ", 35.9 , 0.6 ," 118,200 "," 3,088 ", 21.9 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,NH,New Hampshire,2," 529,588 "," 4,458 "," 94,001 "," 2,949 ", 17.7 , 0.5 ," 110,296 "," 3,168 ", 20.8 , 0.6 ," 202,379 "," 4,343 ", 38.2 , 0.7 ," 122,912 "," 2,834 ", 23.2 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,NJ,New Jersey,1," 542,034 "," 6,191 "," 111,555 "," 2,727 ", 20.6 , 0.4 ," 128,857 "," 4,290 ", 23.8 , 0.7 ," 190,108 "," 3,382 ", 35.1 , 0.5 ," 111,514 "," 2,148 ", 20.6 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,NJ,New Jersey,2," 531,339 "," 6,456 "," 93,137 "," 3,058 ", 17.5 , 0.5 ," 110,952 "," 3,787 ", 20.9 , 0.6 ," 192,550 "," 3,602 ", 36.2 , 0.5 ," 134,700 "," 2,778 ", 25.4 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,NJ,New Jersey,3," 570,276 "," 5,881 "," 103,401 "," 2,971 ", 18.1 , 0.5 ," 121,577 "," 3,040 ", 21.3 , 0.5 ," 204,055 "," 4,043 ", 35.8 , 0.6 ," 141,243 "," 3,548 ", 24.8 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,NJ,New Jersey,4," 539,643 "," 8,273 "," 92,318 "," 4,170 ", 17.1 , 0.7 ," 109,571 "," 4,728 ", 20.3 , 0.8 ," 192,765 "," 5,326 ", 35.7 , 0.8 ," 144,989 "," 4,254 ", 26.9 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,NJ,New Jersey,5," 527,932 "," 8,667 "," 89,385 "," 4,394 ", 16.9 , 0.7 ," 108,059 "," 4,731 ", 20.5 , 0.8 ," 204,536 "," 5,445 ", 38.7 , 0.8 ," 125,952 "," 4,059 ", 23.9 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,NJ,New Jersey,6," 502,463 "," 7,651 "," 116,015 "," 4,306 ", 23.1 , 0.7 ," 108,102 "," 4,837 ", 21.5 , 0.8 ," 179,916 "," 4,676 ", 35.8 , 0.8 ," 98,430 "," 4,257 ", 19.6 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,NJ,New Jersey,7," 527,076 "," 9,094 "," 88,778 "," 4,644 ", 16.8 , 0.8 ," 105,529 "," 4,703 ", 20.0 , 0.8 ," 216,418 "," 5,506 ", 41.1 , 0.8 ," 116,351 "," 4,095 ", 22.1 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,NJ,New Jersey,8," 425,604 "," 11,139 "," 104,194 "," 5,447 ", 24.5 , 1.0 ," 121,068 "," 4,519 ", 28.4 , 0.9 ," 128,201 "," 6,084 ", 30.1 , 1.0 ," 72,141 "," 3,564 ", 17.0 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,NJ,New Jersey,9," 481,499 "," 11,594 "," 99,676 "," 5,588 ", 20.7 , 0.9 ," 111,457 "," 5,430 ", 23.1 , 1.0 ," 169,027 "," 5,360 ", 35.1 , 0.8 ," 101,339 "," 4,083 ", 21.0 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,NJ,New Jersey,10," 496,051 "," 9,959 "," 113,595 "," 5,627 ", 22.9 , 1.0 ," 125,958 "," 5,999 ", 25.4 , 1.1 ," 165,331 "," 5,593 ", 33.3 , 0.9 ," 91,167 "," 3,980 ", 18.4 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,NJ,New Jersey,11," 548,734 "," 8,988 "," 92,894 "," 4,852 ", 16.9 , 0.7 ," 122,467 "," 4,903 ", 22.3 , 0.9 ," 205,816 "," 5,382 ", 37.5 , 0.8 ," 127,557 "," 3,811 ", 23.2 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,NJ,New Jersey,12," 505,683 "," 9,993 "," 96,015 "," 5,152 ", 19.0 , 0.9 ," 108,763 "," 5,621 ", 21.5 , 1.0 ," 190,033 "," 5,882 ", 37.6 , 1.0 ," 110,872 "," 5,041 ", 21.9 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,NM,New Mexico,1," 514,775 "," 6,996 "," 109,072 "," 3,029 ", 21.2 , 0.4 ," 124,471 "," 3,820 ", 24.2 , 0.6 ," 166,781 "," 3,303 ", 32.4 , 0.6 ," 114,451 "," 2,229 ", 22.2 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,NM,New Mexico,2," 484,702 "," 6,155 "," 111,415 "," 3,372 ", 23.0 , 0.6 ," 110,639 "," 4,390 ", 22.8 , 0.8 ," 144,518 "," 3,727 ", 29.8 , 0.7 ," 118,130 "," 2,730 ", 24.4 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,NM,New Mexico,3," 507,907 "," 5,741 "," 95,645 "," 3,336 ", 18.8 , 0.6 ," 121,837 "," 3,624 ", 24.0 , 0.7 ," 162,932 "," 3,209 ", 32.1 , 0.6 ," 127,493 "," 2,382 ", 25.1 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,NY,New York,1," 530,436 "," 8,854 "," 100,287 "," 4,035 ", 18.9 , 0.7 ," 107,433 "," 5,140 ", 20.3 , 0.9 ," 196,082 "," 5,993 ", 37.0 , 0.9 ," 126,634 "," 4,697 ", 23.9 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,NY,New York,2," 515,987 "," 10,089 "," 103,396 "," 5,114 ", 20.0 , 0.8 ," 114,796 "," 6,046 ", 22.2 , 1.1 ," 192,105 "," 6,404 ", 37.2 , 1.0 ," 105,690 "," 4,917 ", 20.5 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,NY,New York,3," 521,235 "," 9,204 "," 84,043 "," 5,129 ", 16.1 , 0.8 ," 94,788 "," 5,053 ", 18.2 , 1.0 ," 201,571 "," 6,966 ", 38.7 , 1.1 ," 140,833 "," 4,839 ", 27.0 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,NY,New York,4," 506,457 "," 8,321 "," 97,115 "," 3,933 ", 19.2 , 0.7 ," 114,081 "," 5,095 ", 22.5 , 0.9 ," 175,392 "," 5,160 ", 34.6 , 0.8 ," 119,869 "," 4,004 ", 23.7 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,NY,New York,5," 501,784 "," 12,659 "," 108,297 "," 5,234 ", 21.6 , 0.8 ," 116,210 "," 4,998 ", 23.2 , 0.8 ," 177,019 "," 6,342 ", 35.3 , 0.8 ," 100,258 "," 3,979 ", 20.0 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,NY,New York,6," 448,065 "," 12,825 "," 79,930 "," 4,430 ", 17.8 , 0.8 ," 102,886 "," 5,889 ", 23.0 , 1.1 ," 155,921 "," 6,732 ", 34.8 , 1.0 ," 109,328 "," 4,526 ", 24.4 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,NY,New York,7," 446,196 "," 14,230 "," 118,165 "," 7,547 ", 26.5 , 1.3 ," 128,013 "," 5,623 ", 28.7 , 1.1 ," 126,083 "," 6,973 ", 28.3 , 1.2 ," 73,935 "," 4,406 ", 16.6 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,NY,New York,8," 540,660 "," 13,211 "," 122,947 "," 6,253 ", 22.7 , 0.9 ," 146,729 "," 7,186 ", 27.1 , 1.1 ," 159,129 "," 5,648 ", 29.4 , 0.9 ," 111,855 "," 5,281 ", 20.7 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,NY,New York,9," 486,880 "," 12,651 "," 106,689 "," 5,362 ", 21.9 , 0.9 ," 133,320 "," 6,783 ", 27.4 , 1.2 ," 145,744 "," 6,356 ", 29.9 , 1.1 ," 101,127 "," 4,834 ", 20.8 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,NY,New York,10," 473,542 "," 10,788 "," 104,610 "," 6,754 ", 22.1 , 1.3 ," 124,335 "," 7,023 ", 26.3 , 1.4 ," 138,764 "," 7,180 ", 29.3 , 1.3 ," 105,833 "," 5,374 ", 22.3 , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,NY,New York,11," 500,998 "," 8,100 "," 94,271 "," 3,380 ", 18.8 , 0.5 ," 113,514 "," 4,360 ", 22.7 , 0.7 ," 176,250 "," 4,365 ", 35.2 , 0.7 ," 116,963 "," 2,829 ", 23.3 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,NY,New York,12," 530,252 "," 14,243 "," 138,958 "," 7,243 ", 26.2 , 1.2 ," 160,540 "," 7,342 ", 30.3 , 1.1 ," 125,681 "," 6,992 ", 23.7 , 1.1 ," 105,073 "," 6,007 ", 19.8 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,NY,New York,13," 505,003 "," 13,783 "," 132,278 "," 6,911 ", 26.2 , 1.2 ," 138,772 "," 7,669 ", 27.5 , 1.2 ," 147,730 "," 6,739 ", 29.3 , 1.1 ," 86,223 "," 4,899 ", 17.1 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,NY,New York,14," 392,398 "," 12,236 "," 84,822 "," 5,281 ", 21.6 , 1.1 ," 108,371 "," 6,353 ", 27.6 , 1.3 ," 121,605 "," 6,487 ", 31.0 , 1.3 ," 77,600 "," 4,495 ", 19.8 , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,NY,New York,15," 410,819 "," 11,144 "," 118,087 "," 6,357 ", 28.7 , 1.1 ," 97,836 "," 5,622 ", 23.8 , 1.1 ," 125,599 "," 4,913 ", 30.6 , 1.0 ," 69,297 "," 3,355 ", 16.9 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,NY,New York,16," 498,243 "," 10,607 "," 97,670 "," 5,533 ", 19.6 , 0.9 ," 110,557 "," 5,818 ", 22.2 , 1.0 ," 170,078 "," 6,340 ", 34.1 , 1.1 ," 119,938 "," 4,975 ", 24.1 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,NY,New York,17," 502,861 "," 6,893 "," 99,453 "," 3,981 ", 19.8 , 0.7 ," 107,969 "," 4,148 ", 21.5 , 0.8 ," 177,154 "," 4,494 ", 35.2 , 0.7 ," 118,285 "," 3,726 ", 23.5 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,NY,New York,18," 524,373 "," 5,240 "," 110,007 "," 3,091 ", 21.0 , 0.5 ," 111,866 "," 3,254 ", 21.3 , 0.6 ," 194,615 "," 3,310 ", 37.1 , 0.5 ," 107,885 "," 2,674 ", 20.6 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,NY,New York,19," 553,713 "," 5,607 "," 100,781 "," 2,764 ", 18.2 , 0.5 ," 110,525 "," 3,418 ", 20.0 , 0.5 ," 200,995 "," 2,689 ", 36.3 , 0.4 ," 141,412 "," 2,973 ", 25.5 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,NY,New York,20," 557,251 "," 5,438 "," 128,947 "," 3,418 ", 23.1 , 0.5 ," 122,739 "," 3,064 ", 22.0 , 0.5 ," 183,945 "," 3,761 ", 33.0 , 0.6 ," 121,620 "," 2,620 ", 21.8 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,NY,New York,21," 551,303 "," 4,192 "," 113,239 "," 2,988 ", 20.5 , 0.4 ," 119,095 "," 1,986 ", 21.6 , 0.4 ," 194,087 "," 2,692 ", 35.2 , 0.4 ," 124,882 "," 1,893 ", 22.7 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,NY,New York,22," 539,437 "," 3,753 "," 114,511 "," 1,905 ", 21.2 , 0.3 ," 111,158 "," 1,993 ", 20.6 , 0.3 ," 184,422 "," 2,424 ", 34.2 , 0.4 ," 129,346 "," 1,515 ", 24.0 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,NY,New York,23," 544,564 "," 3,340 "," 120,276 "," 2,426 ", 22.1 , 0.4 ," 109,777 "," 2,013 ", 20.2 , 0.3 ," 185,144 "," 2,376 ", 34.0 , 0.4 ," 129,367 "," 1,397 ", 23.8 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,NY,New York,24," 539,797 "," 2,939 "," 111,698 "," 1,986 ", 20.7 , 0.3 ," 117,482 "," 1,825 ", 21.8 , 0.3 ," 189,709 "," 1,757 ", 35.1 , 0.3 ," 120,908 "," 1,232 ", 22.4 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,NY,New York,25," 543,698 "," 4,648 "," 117,622 "," 2,198 ", 21.6 , 0.3 ," 123,905 "," 1,868 ", 22.8 , 0.3 ," 181,680 "," 2,174 ", 33.4 , 0.3 ," 120,491 "," 1,330 ", 22.2 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,NY,New York,26," 539,694 "," 5,187 "," 120,559 "," 3,482 ", 22.3 , 0.6 ," 122,162 "," 3,217 ", 22.6 , 0.6 ," 175,590 "," 4,059 ", 32.5 , 0.6 ," 121,383 "," 3,231 ", 22.5 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,NY,New York,27," 564,383 "," 5,939 "," 95,372 "," 3,814 ", 16.9 , 0.6 ," 120,176 "," 3,156 ", 21.3 , 0.6 ," 212,938 "," 5,000 ", 37.7 , 0.7 ," 135,897 "," 3,689 ", 24.1 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,NC,North Carolina,1," 566,173 "," 6,735 "," 132,862 "," 4,336 ", 23.5 , 0.6 ," 125,420 "," 3,503 ", 22.2 , 0.6 ," 183,238 "," 3,733 ", 32.4 , 0.6 ," 124,653 "," 2,401 ", 22.0 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,NC,North Carolina,2," 601,142 "," 7,863 "," 106,022 "," 4,771 ", 17.6 , 0.7 ," 154,674 "," 5,036 ", 25.7 , 0.8 ," 224,620 "," 5,549 ", 37.4 , 0.8 ," 115,826 "," 3,571 ", 19.3 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,NC,North Carolina,3," 579,504 "," 4,996 "," 140,107 "," 3,812 ", 24.2 , 0.6 ," 124,968 "," 3,042 ", 21.6 , 0.5 ," 183,311 "," 3,621 ", 31.6 , 0.6 ," 131,118 "," 2,273 ", 22.6 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,NC,North Carolina,4," 624,834 "," 7,413 "," 160,718 "," 4,780 ", 25.7 , 0.7 ," 165,799 "," 5,363 ", 26.5 , 0.8 ," 199,641 "," 4,989 ", 32.0 , 0.7 ," 98,676 "," 3,142 ", 15.8 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,NC,North Carolina,5," 572,721 "," 3,131 "," 120,924 "," 1,928 ", 21.1 , 0.3 ," 115,470 "," 2,055 ", 20.2 , 0.3 ," 198,628 "," 1,922 ", 34.7 , 0.3 ," 137,699 "," 1,313 ", 24.0 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,NC,North Carolina,6," 567,392 "," 5,676 "," 108,516 "," 3,965 ", 19.1 , 0.6 ," 120,375 "," 4,598 ", 21.2 , 0.8 ," 203,804 "," 3,976 ", 35.9 , 0.7 ," 134,697 "," 2,644 ", 23.7 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,NC,North Carolina,7," 613,510 "," 5,769 "," 120,856 "," 3,221 ", 19.7 , 0.5 ," 130,075 "," 4,066 ", 21.2 , 0.6 ," 204,550 "," 3,477 ", 33.3 , 0.5 ," 158,029 "," 2,006 ", 25.8 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,NC,North Carolina,8," 581,896 "," 5,618 "," 134,841 "," 3,326 ", 23.2 , 0.5 ," 139,696 "," 3,523 ", 24.0 , 0.5 ," 189,464 "," 4,141 ", 32.6 , 0.6 ," 117,895 "," 1,953 ", 20.3 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,NC,North Carolina,9," 561,804 "," 6,951 "," 104,526 "," 3,998 ", 18.6 , 0.6 ," 130,550 "," 3,877 ", 23.2 , 0.6 ," 206,102 "," 4,407 ", 36.7 , 0.7 ," 120,626 "," 3,192 ", 21.5 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
