,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,18-29 Age Estimate,18-29 Age Percent of total,30-44 Age Estimate,30-44 Age Percent of total,45-64 Age Estimate,45-64 Age Percent of total,65+ Age Estimate,65+ Age Percent of total
111,FL-24,FL,Florida,24,477697,110275,23.1,123658,25.9,149155,31.2,94609,19.8
112,FL-25,FL,Florida,25,453055,89229,19.7,86737,19.1,148024,32.7,129065,28.5
113,FL-26,FL,Florida,26,476033,104526,22.0,107894,22.7,162965,34.2,100648,21.1
114,FL-27,FL,Florida,27,464604,84074,18.1,110349,23.8,152249,32.8,117932,25.4
115,GA-1,GA,Georgia,1,550713,124272,22.6,144285,26.2,173960,31.6,108196,19.6
116,GA-2,GA,Georgia,2,498322,116812,23.4,118050,23.7,158501,31.8,104959,21.1
117,GA-3,GA,Georgia,3,548941,116928,21.3,126353,23.0,192813,35.1,112847,20.6
118,GA-4,GA,Georgia,4,527938,116027,22.0,131388,24.9,188968,35.8,91555,17.3
119,GA-5,GA,Georgia,5,587385,173012,29.5,167225,28.5,162199,27.6,84949,14.5
120,GA-6,GA,Georgia,6,496468,80827,16.3,129906,26.2,192548,38.8,93187,18.8
121,GA-7,GA,Georgia,7,486845,101857,20.9,126492,26.0,180871,37.2,77625,15.9
122,GA-8,GA,Georgia,8,527338,117467,22.3,129584,24.6,171971,32.6,108316,20.5
123,GA-9,GA,Georgia,9,556967,110102,19.8,119775,21.5,185692,33.3,141398,25.4
124,GA-10,GA,Georgia,10,565803,135915,24.0,130573,23.1,189498,33.5,109817,19.4
125,GA-11,GA,Georgia,11,559687,122052,21.8,143609,25.7,193753,34.6,100273,17.9
126,GA-12,GA,Georgia,12,540482,132914,24.6,132283,24.5,172888,32.0,102397,18.9
127,GA-13,GA,Georgia,13,523476,114667,21.9,141009,26.9,185343,35.4,82457,15.8
128,GA-14,GA,Georgia,14,516434,107349,20.8,122568,23.7,180827,35.0,105690,20.5
129,HI-1,HI,Hawaii,1,509992,101825,20.0,127924,25.1,156279,30.6,123964,24.3
130,HI-2,HI,Hawaii,2,506514,104080,20.5,120799,23.8,160905,31.8,120730,23.8
131,ID-1,ID,Idaho,1,661724,133621,20.2,156558,23.7,218173,33.0,153372,23.2
132,ID-2,ID,Idaho,2,590690,138735,23.5,152336,25.8,177354,30.0,122265,20.7
133,IL-1,IL,Illinois,1,524114,110093,21.0,119884,22.9,183041,34.9,111096,21.2
134,IL-2,IL,Illinois,2,497132,105903,21.3,115395,23.2,166767,33.5,109067,21.9
135,IL-3,IL,Illinois,3,479004,96642,20.2,116060,24.2,166940,34.9,99362,20.7
136,IL-4,IL,Illinois,4,410804,114380,27.8,124459,30.3,112782,27.5,59183,14.4
137,IL-5,IL,Illinois,5,545831,138945,25.5,163400,29.9,153707,28.2,89779,16.4
138,IL-6,IL,Illinois,6,523796,89576,17.1,115611,22.1,203470,38.8,115139,22.0
139,IL-7,IL,Illinois,7,522767,133525,25.5,142887,27.3,152762,29.2,93593,17.9
140,IL-8,IL,Illinois,8,442009,97404,22.0,105383,23.8,149266,33.8,89956,20.4
141,IL-9,IL,Illinois,9,498242,91913,18.4,116876,23.5,169788,34.1,119665,24.0
142,IL-10,IL,Illinois,10,468255,99179,21.2,100085,21.4,164232,35.1,104759,22.4
143,IL-11,IL,Illinois,11,472244,104470,22.1,115271,24.4,167620,35.5,84883,18.0
144,IL-12,IL,Illinois,12,528398,105402,19.9,123904,23.4,181641,34.4,117451,22.2
145,IL-13,IL,Illinois,13,539012,143933,26.7,119427,22.2,165322,30.7,110330,20.5
146,IL-14,IL,Illinois,14,525729,91105,17.3,132209,25.1,201495,38.3,100920,19.2
147,IL-15,IL,Illinois,15,532371,95218,17.9,121442,22.8,182004,34.2,133707,25.1
