Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , White Estimate , White Margin of error (MOE) , White Percent of total , White Percent of total margin of error (MOE) , Black Estimate , Black Margin of error (MOE) , Black Percent of total , Black Percent of total margin of error (MOE) , Asian Estimate , Asian Margin of error (MOE) , Asian Percent of total , Asian Percent of total margin of error (MOE) , American Indian and Alaska Native Estimate , American Indian and Alaska Native Margin of error (MOE) , American Indian and Alaska Native Percent of total , American Indian and Alaska Native Percent of total margin of error (MOE) , Native Hawaiian and other Pacific Islander Estimate , Native Hawaiian and other Pacific Islander Margin of error (MOE) , Native Hawaiian and other Pacific Islander Percent of total , Native Hawaiian and other Pacific Islander Percent of total margin of error (MOE) , Some other race Estimate , Some other race Margin of error (MOE) , Some other race Percent of total , Some other race Percent of total margin of error (MOE) , Two or more  races Estimate , Two or more  races Margin of error (MOE) , Two or more  races Percent of total , Two or more  races Percent of total margin of error (MOE) , Hispanic Estimate , Hispanic Margin of error (MOE) , Hispanic Percent of total , Hispanic Percent of total margin of error (MOE) , White non-Hispanic Estimate , White non-Hispanic Margin of error (MOE) , White non-Hispanic Percent of total , White non-Hispanic Percent of total margin of error (MOE) 
55,CA,California,34," 425,520 "," 11,922 "," 159,449 "," 7,234 ", 37.5 , 1.5 ," 36,952 "," 3,907 ", 8.7 , 0.9 ," 95,508 "," 5,965 ", 22.4 , 1.3 ," 4,847 "," 1,416 ", 1.1 , 0.3 , N , N , N , N ," 112,049 "," 7,919 ", 26.3 , 1.6 ," 15,476 "," 2,194 ", 3.6 , 0.5 ," 209,425 "," 10,209 ", 49.2 , 1.8 ," 75,074 "," 5,039 ", 17.6 , 1.1 
56,CA,California,35," 450,565 "," 12,666 "," 218,021 "," 9,995 ", 48.4 , 2.0 ," 30,706 "," 3,942 ", 6.8 , 0.9 ," 34,266 "," 3,796 ", 7.6 , 0.8 , N , N , N , N , N , N , N , N ," 143,278 "," 10,061 ", 31.8 , 1.9 ," 18,524 "," 3,473 ", 4.1 , 0.7 ," 292,642 "," 11,351 ", 65.0 , 1.5 ," 83,458 "," 5,570 ", 18.5 , 1.1 
57,CA,California,36," 536,333 "," 9,648 "," 366,541 "," 9,465 ", 68.3 , 1.4 ," 25,914 "," 3,312 ", 4.8 , 0.6 ," 21,313 "," 3,737 ", 4.0 , 0.7 ," 5,902 "," 1,563 ", 1.1 , 0.3 , N , N , N , N ," 101,943 "," 8,157 ", 19.0 , 1.4 ," 13,821 "," 1,798 ", 2.6 , 0.3 ," 204,219 "," 8,206 ", 38.1 , 1.3 ," 270,697 "," 8,256 ", 50.5 , 1.3 
58,CA,California,37," 468,463 "," 13,452 "," 224,556 "," 9,784 ", 47.9 , 1.6 ," 123,198 "," 8,771 ", 26.3 , 1.6 ," 49,704 "," 4,930 ", 10.6 , 1.0 ," 3,328 "," 1,176 ", 0.7 , 0.3 , N , N , N , N ," 47,551 "," 5,963 ", 10.2 , 1.3 ," 18,997 "," 2,650 ", 4.1 , 0.6 ," 135,466 "," 8,231 ", 28.9 , 1.5 ," 144,734 "," 6,486 ", 30.9 , 1.3 
59,CA,California,38," 481,296 "," 10,991 "," 213,694 "," 8,330 ", 44.4 , 1.5 ," 20,765 "," 3,569 ", 4.3 , 0.7 ," 82,896 "," 6,472 ", 17.2 , 1.3 , N , N , N , N , N , N , N , N ," 144,191 "," 8,301 ", 30.0 , 1.5 ," 13,245 "," 2,219 ", 2.8 , 0.5 ," 270,818 "," 9,998 ", 56.3 , 1.5 ," 96,943 "," 5,974 ", 20.1 , 1.2 
60,CA,California,39," 486,713 "," 10,190 "," 263,909 "," 10,399 ", 54.2 , 1.8 ," 14,918 "," 3,308 ", 3.1 , 0.7 ," 152,057 "," 8,134 ", 31.2 , 1.6 , N , N , N , N , N , N , N , N ," 35,968 "," 5,149 ", 7.4 , 1.1 ," 14,948 "," 1,980 ", 3.1 , 0.4 ," 140,123 "," 7,794 ", 28.8 , 1.4 ," 169,329 "," 7,927 ", 34.8 , 1.5 
61,CA,California,40," 340,435 "," 9,624 "," 181,946 "," 8,151 ", 53.4 , 1.9 ," 25,692 "," 3,346 ", 7.5 , 0.9 ," 12,880 "," 2,917 ", 3.8 , 0.8 ," 3,015 "," 1,293 ", 0.9 , 0.4 , N , N , N , N ," 108,373 "," 7,200 ", 31.8 , 2.0 ," 7,930 "," 1,798 ", 2.3 , 0.5 ," 271,720 "," 8,670 ", 79.8 , 1.5 ," 26,637 "," 2,871 ", 7.8 , 0.8 
62,CA,California,41," 478,613 "," 8,532 "," 262,972 "," 10,613 ", 54.9 , 1.9 ," 50,689 "," 4,250 ", 10.6 , 0.9 ," 31,893 "," 4,016 ", 6.7 , 0.8 , N , N , N , N , N , N , N , N ," 112,567 "," 8,467 ", 23.5 , 1.8 ," 16,584 "," 2,710 ", 3.5 , 0.6 ," 258,511 "," 7,461 ", 54.0 , 1.4 ," 127,599 "," 6,604 ", 26.7 , 1.2 
63,CA,California,42," 538,265 "," 9,226 "," 361,584 "," 8,659 ", 67.2 , 1.5 ," 37,246 "," 4,779 ", 6.9 , 0.9 ," 49,668 "," 4,975 ", 9.2 , 0.9 , N , N , N , N , N , N , N , N ," 61,925 "," 6,625 ", 11.5 , 1.2 ," 21,603 "," 3,432 ", 4.0 , 0.6 ," 177,937 "," 8,005 ", 33.1 , 1.4 ," 255,808 "," 8,979 ", 47.5 , 1.5 
64,CA,California,43," 454,185 "," 11,440 "," 177,842 "," 9,071 ", 39.2 , 1.8 ," 119,732 "," 6,993 ", 26.4 , 1.5 ," 68,865 "," 6,008 ", 15.2 , 1.2 ," 2,291 "," 1,242 ", 0.5 , 0.3 , N , N , N , N ," 65,073 "," 6,884 ", 14.3 , 1.4 ," 18,986 "," 3,123 ", 4.2 , 0.7 ," 165,629 "," 9,490 ", 36.5 , 1.8 ," 87,475 "," 5,609 ", 19.3 , 1.2 
65,CA,California,44," 395,819 "," 8,661 "," 165,491 "," 8,161 ", 41.8 , 1.9 ," 85,383 "," 5,681 ", 21.6 , 1.4 ," 25,054 "," 4,208 ", 6.3 , 1.1 , N , N , N , N , N , N , N , N ," 99,590 "," 7,193 ", 25.2 , 1.7 ," 12,702 "," 2,655 ", 3.2 , 0.7 ," 236,098 "," 8,189 ", 59.6 , 1.7 ," 37,927 "," 4,340 ", 9.6 , 1.0 
66,CA,California,45," 532,802 "," 12,285 "," 366,022 "," 9,955 ", 68.7 , 1.3 ," 9,614 "," 3,098 ", 1.8 , 0.6 ," 114,232 "," 7,366 ", 21.4 , 1.3 , N , N , N , N , N , N , N , N ," 20,267 "," 3,475 ", 3.8 , 0.6 ," 20,084 "," 2,417 ", 3.8 , 0.4 ," 86,584 "," 7,186 ", 16.3 , 1.2 ," 304,010 "," 8,175 ", 57.1 , 1.3 
67,CA,California,46," 408,633 "," 10,145 "," 243,975 "," 11,000 ", 59.7 , 2.1 ," 11,486 "," 2,211 ", 2.8 , 0.5 ," 59,189 "," 5,443 ", 14.5 , 1.3 , N , N , N , N , N , N , N , N ," 81,155 "," 7,200 ", 19.9 , 1.8 ," 9,290 "," 1,955 ", 2.3 , 0.5 ," 222,627 "," 8,819 ", 54.5 , 1.9 ," 109,333 "," 6,684 ", 26.8 , 1.4 
68,CA,California,47," 491,712 "," 10,923 "," 266,203 "," 8,637 ", 54.1 , 1.7 ," 43,843 "," 4,323 ", 8.9 , 0.9 ," 110,767 "," 7,628 ", 22.5 , 1.4 , N , N , N , N , N , N , N , N ," 45,797 "," 5,157 ", 9.3 , 1.0 ," 17,579 "," 2,914 ", 3.6 , 0.6 ," 127,919 "," 7,669 ", 26.0 , 1.6 ," 192,536 "," 8,004 ", 39.2 , 1.4 
69,CA,California,48," 529,832 "," 8,764 "," 359,070 "," 8,613 ", 67.8 , 1.3 ," 9,696 "," 2,385 ", 1.8 , 0.5 ," 106,927 "," 6,937 ", 20.2 , 1.2 , N , N , N , N , N , N , N , N ," 34,320 "," 4,225 ", 6.5 , 0.8 ," 16,254 "," 3,077 ", 3.1 , 0.6 ," 83,297 "," 6,138 ", 15.7 , 1.1 ," 317,093 "," 7,897 ", 59.8 , 1.2 
70,CA,California,49," 519,302 "," 10,212 "," 421,261 "," 9,193 ", 81.1 , 1.4 ," 18,361 "," 5,915 ", 3.5 , 1.1 ," 38,574 "," 5,719 ", 7.4 , 1.0 , N , N , N , N , N , N , N , N ," 19,567 "," 3,392 ", 3.8 , 0.7 ," 17,266 "," 2,578 ", 3.3 , 0.5 ," 96,576 "," 8,171 ", 18.6 , 1.6 ," 349,606 "," 10,250 ", 67.3 , 1.9 
71,CA,California,50," 513,522 "," 11,367 "," 420,132 "," 10,461 ", 81.8 , 1.2 ," 14,365 "," 3,994 ", 2.8 , 0.8 ," 26,540 "," 3,770 ", 5.2 , 0.7 ," 6,867 "," 1,781 ", 1.3 , 0.3 , N , N , N , N ," 23,519 "," 3,972 ", 4.6 , 0.8 ," 19,507 "," 2,747 ", 3.8 , 0.5 ," 125,071 "," 8,747 ", 24.4 , 1.5 ," 325,178 "," 8,980 ", 63.3 , 1.4 
72,CA,California,51," 445,034 "," 11,226 "," 288,652 "," 10,763 ", 64.9 , 1.6 ," 38,528 "," 4,189 ", 8.7 , 0.9 ," 41,241 "," 4,482 ", 9.3 , 1.0 , N , N , N , N , N , N , N , N ," 55,092 "," 4,331 ", 12.4 , 1.0 ," 15,511 "," 3,223 ", 3.5 , 0.7 ," 275,718 "," 10,722 ", 62.0 , 1.6 ," 80,486 "," 5,352 ", 18.1 , 1.2 
73,CA,California,52," 546,843 "," 12,471 "," 396,684 "," 10,142 ", 72.5 , 1.3 ," 21,380 "," 3,464 ", 3.9 , 0.6 ," 86,599 "," 7,017 ", 15.8 , 1.2 , N , N , N , N , N , N , N , N ," 15,819 "," 2,999 ", 2.9 , 0.6 ," 21,843 "," 2,915 ", 4.0 , 0.5 ," 68,051 "," 6,081 ", 12.4 , 1.1 ," 351,596 "," 8,833 ", 64.3 , 1.3 
74,CA,California,53," 563,962 "," 15,636 "," 382,461 "," 14,327 ", 67.8 , 1.5 ," 47,426 "," 4,483 ", 8.4 , 0.8 ," 75,888 "," 7,127 ", 13.5 , 1.2 , N , N , N , N , N , N , N , N ," 26,884 "," 4,290 ", 4.8 , 0.8 ," 25,410 "," 3,111 ", 4.5 , 0.5 ," 161,670 "," 10,957 ", 28.7 , 1.6 ," 261,411 "," 9,902 ", 46.4 , 1.5 
75,CO,Colorado,1," 619,349 "," 5,507 "," 506,072 "," 5,964 ", 81.7 , 0.8 ," 45,513 "," 2,996 ", 7.3 , 0.5 ," 17,469 "," 1,985 ", 2.8 , 0.3 , N , N , N , N , N , N , N , N ," 23,219 "," 4,407 ", 3.7 , 0.7 ," 20,096 "," 2,879 ", 3.2 , 0.5 ," 119,977 "," 3,974 ", 19.4 , 0.6 ," 418,148 "," 4,066 ", 67.5 , 0.6 
76,CO,Colorado,2," 619,285 "," 6,451 "," 576,504 "," 6,013 ", 93.1 , 0.5 , N , N , N , N ," 13,255 "," 1,635 ", 2.1 , 0.3 , N , N , N , N , N , N , N , N ," 6,147 "," 1,878 ", 1.0 , 0.3 ," 14,535 "," 2,078 ", 2.3 , 0.3 ," 46,193 "," 3,314 ", 7.5 , 0.5 ," 540,357 "," 6,727 ", 87.3 , 0.6 
77,CO,Colorado,3," 565,901 "," 5,796 "," 514,091 "," 6,096 ", 90.8 , 0.7 , N , N , N , N ," 4,563 ", 890 , 0.8 , 0.2 ," 13,233 "," 2,638 ", 2.3 , 0.5 , N , N , N , N ," 19,146 "," 3,225 ", 3.4 , 0.6 ," 9,553 "," 3,261 ", 1.7 , 0.6 ," 109,815 "," 4,096 ", 19.4 , 0.6 ," 432,148 "," 3,911 ", 76.4 , 0.6 
78,CO,Colorado,4," 598,599 "," 5,986 "," 548,225 "," 5,671 ", 91.6 , 0.6 ," 8,010 "," 1,573 ", 1.3 , 0.3 ," 10,268 "," 1,476 ", 1.7 , 0.2 , N , N , N , N , N , N , N , N ," 11,070 "," 1,952 ", 1.8 , 0.3 ," 15,269 "," 2,480 ", 2.6 , 0.4 ," 101,117 "," 4,289 ", 16.9 , 0.7 ," 465,288 "," 5,207 ", 77.7 , 0.7 
79,CO,Colorado,5," 603,967 "," 3,639 "," 507,651 "," 4,280 ", 84.1 , 0.6 ," 36,260 "," 2,074 ", 6.0 , 0.3 ," 12,558 "," 1,700 ", 2.1 , 0.3 , N , N , N , N , N , N , N , N ," 15,684 "," 3,485 ", 2.6 , 0.6 ," 24,563 "," 5,847 ", 4.1 , 1.0 ," 79,608 "," 2,722 ", 13.2 , 0.4 ," 454,724 "," 2,499 ", 75.3 , 0.4 
80,CO,Colorado,6," 567,801 "," 9,080 "," 445,319 "," 8,430 ", 78.4 , 0.9 ," 54,258 "," 2,843 ", 9.6 , 0.5 ," 26,492 "," 2,278 ", 4.7 , 0.4 , N , N , N , N , N , N , N , N ," 16,198 "," 2,778 ", 2.9 , 0.5 ," 18,358 "," 2,512 ", 3.2 , 0.4 ," 82,000 "," 4,679 ", 14.4 , 0.7 ," 388,277 "," 6,864 ", 68.4 , 0.9 
81,CO,Colorado,7," 576,138 "," 8,222 "," 515,075 "," 8,107 ", 89.4 , 0.7 ," 9,840 "," 1,555 ", 1.7 , 0.3 ," 14,416 "," 1,917 ", 2.5 , 0.3 , N , N , N , N , N , N , N , N ," 14,676 "," 2,567 ", 2.5 , 0.4 ," 16,322 "," 3,206 ", 2.8 , 0.6 ," 127,630 "," 5,041 ", 22.2 , 0.7 ," 411,026 "," 5,524 ", 71.3 , 0.8 
82,CT,Connecticut,1," 523,004 "," 7,034 "," 389,864 "," 7,213 ", 74.5 , 0.9 ," 74,654 "," 3,271 ", 14.3 , 0.6 ," 18,123 "," 2,123 ", 3.5 , 0.4 , N , N , N , N , N , N , N , N ," 25,590 "," 3,166 ", 4.9 , 0.6 ," 13,819 "," 2,622 ", 2.6 , 0.5 ," 76,120 "," 3,740 ", 14.6 , 0.7 ," 349,882 "," 6,187 ", 66.9 , 0.8 
83,CT,Connecticut,2," 548,572 "," 5,593 "," 490,483 "," 5,262 ", 89.4 , 0.6 ," 21,561 "," 1,739 ", 3.9 , 0.3 ," 12,282 "," 2,006 ", 2.2 , 0.4 , N , N , N , N , N , N , N , N ," 9,461 "," 1,906 ", 1.7 , 0.3 ," 12,947 "," 2,064 ", 2.4 , 0.4 ," 34,236 "," 2,728 ", 6.2 , 0.5 ," 471,406 "," 4,892 ", 85.9 , 0.7 
84,CT,Connecticut,3," 535,024 "," 7,312 "," 415,047 "," 8,266 ", 77.6 , 1.1 ," 73,000 "," 4,495 ", 13.6 , 0.8 ," 16,583 "," 1,800 ", 3.1 , 0.3 , N , N , N , N , N , N , N , N ," 20,078 "," 3,658 ", 3.8 , 0.7 ," 9,426 "," 1,820 ", 1.8 , 0.3 ," 65,126 "," 4,363 ", 12.2 , 0.8 ," 376,872 "," 7,245 ", 70.4 , 1.0 
85,CT,Connecticut,4," 496,370 "," 6,476 "," 385,473 "," 6,016 ", 77.7 , 0.9 ," 58,892 "," 3,744 ", 11.9 , 0.7 ," 21,594 "," 1,690 ", 4.4 , 0.3 , N , N , N , N , N , N , N , N ," 19,799 "," 3,537 ", 4.0 , 0.7 ," 9,394 "," 1,797 ", 1.9 , 0.4 ," 70,913 "," 3,828 ", 14.3 , 0.7 ," 341,510 "," 5,406 ", 68.8 , 0.9 
86,CT,Connecticut,5," 511,395 "," 9,390 "," 428,788 "," 9,636 ", 83.8 , 1.2 ," 37,035 "," 4,604 ", 7.2 , 0.9 ," 12,937 "," 2,248 ", 2.5 , 0.4 , N , N , N , N , N , N , N , N ," 20,742 "," 3,558 ", 4.1 , 0.7 ," 10,348 "," 1,986 ", 2.0 , 0.4 ," 74,862 "," 5,055 ", 14.6 , 0.9 ," 379,746 "," 8,394 ", 74.3 , 1.1 
87,DE,Delaware,At-large," 720,867 "," 3,971 "," 521,934 "," 3,590 ", 72.4 , 0.5 ," 158,901 "," 2,577 ", 22.0 , 0.3 ," 15,714 "," 1,833 ", 2.2 , 0.2 , N , N , N , N , N , N , N , N ," 6,555 "," 1,921 ", 0.9 , 0.3 ," 13,093 "," 1,960 ", 1.8 , 0.3 ," 38,834 "," 2,554 ", 5.4 , 0.3 ," 495,504 "," 1,141 ", 68.7 , 0.4 
88,DC,District of Columbia,At-large," 526,393 "," 4,612 "," 240,198 "," 3,429 ", 45.6 , 0.5 ," 240,843 "," 3,056 ", 45.8 , 0.6 ," 19,162 "," 1,922 ", 3.6 , 0.4 , N , N , N , N , N , N , N , N ," 9,019 "," 2,298 ", 1.7 , 0.4 ," 14,842 "," 2,020 ", 2.8 , 0.4 ," 36,738 "," 2,754 ", 7.0 , 0.5 ," 219,188 "," 2,165 ", 41.6 , 0.4 
89,FL,Florida,1," 601,423 "," 2,752 "," 478,730 "," 3,148 ", 79.6 , 0.5 ," 77,669 "," 2,272 ", 12.9 , 0.4 ," 14,425 "," 1,389 ", 2.4 , 0.2 , N , N , N , N , N , N , N , N ," 7,267 "," 1,778 ", 1.2 , 0.3 ," 18,881 "," 5,164 ", 3.1 , 0.9 ," 33,268 "," 1,544 ", 5.5 , 0.2 ," 456,722 "," 2,070 ", 75.9 , 0.4 
90,FL,Florida,2," 573,718 "," 6,050 "," 471,948 "," 5,238 ", 82.3 , 0.8 ," 72,643 "," 4,319 ", 12.7 , 0.7 ," 7,051 "," 1,573 ", 1.2 , 0.3 , N , N , N , N , N , N , N , N ," 6,613 "," 2,018 ", 1.2 , 0.4 ," 12,474 "," 4,550 ", 2.2 , 0.8 ," 28,069 "," 2,169 ", 4.9 , 0.4 ," 452,634 "," 4,841 ", 78.9 , 0.8 
91,FL,Florida,3," 579,993 "," 6,726 "," 449,642 "," 6,654 ", 77.5 , 0.7 ," 94,257 "," 3,960 ", 16.3 , 0.6 ," 15,798 "," 2,161 ", 2.7 , 0.4 , N , N , N , N , N , N , N , N ," 7,252 "," 2,237 ", 1.3 , 0.4 ," 11,235 "," 1,998 ", 1.9 , 0.3 ," 51,546 "," 3,339 ", 8.9 , 0.6 ," 407,799 "," 5,903 ", 70.3 , 0.7 
92,FL,Florida,4," 614,794 "," 10,052 "," 515,197 "," 7,764 ", 83.8 , 0.9 ," 55,158 "," 4,791 ", 9.0 , 0.7 ," 21,102 "," 3,152 ", 3.4 , 0.5 , N , N , N , N , N , N , N , N ," 8,382 "," 2,675 ", 1.4 , 0.4 ," 12,540 "," 2,554 ", 2.0 , 0.4 ," 39,896 "," 4,891 ", 6.5 , 0.8 ," 483,093 "," 7,594 ", 78.6 , 0.9 
93,FL,Florida,5," 541,992 "," 11,225 "," 257,422 "," 8,696 ", 47.5 , 1.1 ," 253,971 "," 6,426 ", 46.9 , 1.0 ," 10,734 "," 2,769 ", 2.0 , 0.5 , N , N , N , N , N , N , N , N ," 5,696 "," 1,639 ", 1.1 , 0.3 ," 11,808 "," 2,342 ", 2.2 , 0.4 ," 33,932 "," 3,291 ", 6.3 , 0.6 ," 232,592 "," 8,139 ", 42.9 , 1.0 
94,FL,Florida,6," 621,566 "," 6,917 "," 524,555 "," 7,793 ", 84.4 , 0.8 ," 59,921 "," 3,017 ", 9.6 , 0.5 ," 9,225 "," 1,710 ", 1.5 , 0.3 , N , N , N , N , N , N , N , N ," 18,471 "," 3,583 ", 3.0 , 0.6 ," 6,898 "," 3,973 ", 1.1 , 0.6 ," 70,307 "," 2,604 ", 11.3 , 0.4 ," 475,149 "," 5,841 ", 76.4 , 0.6 
95,FL,Florida,7," 581,583 "," 10,621 "," 455,558 "," 7,189 ", 78.3 , 1.1 ," 61,316 "," 4,448 ", 10.5 , 0.7 ," 21,799 "," 2,792 ", 3.7 , 0.5 , N , N , N , N , N , N , N , N ," 27,205 "," 4,789 ", 4.7 , 0.8 ," 14,159 "," 3,042 ", 2.4 , 0.5 ," 136,155 "," 7,725 ", 23.4 , 1.2 ," 353,215 "," 5,754 ", 60.7 , 1.1 
96,FL,Florida,8," 610,604 "," 4,145 "," 527,572 "," 3,778 ", 86.4 , 0.5 ," 53,879 "," 2,993 ", 8.8 , 0.5 ," 11,561 "," 1,737 ", 1.9 , 0.3 , N , N , N , N , N , N , N , N ," 3,277 "," 1,206 ", 0.5 , 0.2 ," 12,045 "," 3,068 ", 2.0 , 0.5 ," 55,610 "," 2,663 ", 9.1 , 0.4 ," 478,959 "," 2,492 ", 78.4 , 0.5 
97,FL,Florida,9," 644,898 "," 15,477 "," 491,703 "," 13,994 ", 76.2 , 1.4 ," 77,000 "," 5,924 ", 11.9 , 0.8 ," 17,089 "," 2,530 ", 2.6 , 0.4 , N , N , N , N , N , N , N , N ," 38,959 "," 6,753 ", 6.0 , 1.0 ," 18,829 "," 4,650 ", 2.9 , 0.7 ," 248,443 "," 10,534 ", 38.5 , 1.2 ," 298,166 "," 9,115 ", 46.2 , 1.2 
98,FL,Florida,10," 546,157 "," 12,769 "," 328,556 "," 11,211 ", 60.2 , 1.4 ," 149,037 "," 6,975 ", 27.3 , 1.2 ," 26,403 "," 3,746 ", 4.8 , 0.7 , N , N , N , N , N , N , N , N ," 27,895 "," 5,974 ", 5.1 , 1.1 ," 12,385 "," 2,454 ", 2.3 , 0.4 ," 130,233 "," 8,960 ", 23.8 , 1.3 ," 228,710 "," 7,662 ", 41.9 , 1.3 
99,FL,Florida,11," 652,135 "," 10,786 "," 584,168 "," 10,372 ", 89.6 , 0.8 ," 42,623 "," 4,652 ", 6.5 , 0.7 ," 6,265 "," 1,602 ", 1.0 , 0.2 , N , N , N , N , N , N , N , N ," 7,035 "," 2,235 ", 1.1 , 0.3 ," 10,705 "," 4,376 ", 1.6 , 0.7 ," 57,736 "," 4,878 ", 8.9 , 0.7 ," 535,611 "," 9,050 ", 82.1 , 0.8 
100,FL,Florida,12," 605,983 "," 7,435 "," 540,706 "," 7,524 ", 89.2 , 0.6 ," 27,926 "," 2,239 ", 4.6 , 0.4 ," 13,016 "," 1,890 ", 2.1 , 0.3 , N , N , N , N , N , N , N , N ," 10,067 "," 2,600 ", 1.7 , 0.4 ," 11,346 "," 2,101 ", 1.9 , 0.3 ," 64,029 "," 3,622 ", 10.6 , 0.5 ," 490,925 "," 6,354 ", 81.0 , 0.6 
101,FL,Florida,13," 584,889 "," 8,338 "," 479,723 "," 6,863 ", 82.0 , 0.5 ," 68,348 "," 2,629 ", 11.7 , 0.4 ," 15,854 "," 2,129 ", 2.7 , 0.4 , N , N , N , N , N , N , N , N ," 5,689 "," 1,814 ", 1.0 , 0.3 ," 12,961 "," 2,482 ", 2.2 , 0.4 ," 46,059 "," 3,237 ", 7.9 , 0.5 ," 444,148 "," 6,696 ", 75.9 , 0.6 
102,FL,Florida,14," 534,225 "," 9,792 "," 381,218 "," 10,117 ", 71.4 , 1.2 ," 95,829 "," 5,405 ", 17.9 , 1.0 ," 17,872 "," 2,123 ", 3.3 , 0.4 , N , N , N , N , N , N , N , N ," 16,749 "," 3,106 ", 3.1 , 0.6 ," 21,164 "," 3,206 ", 4.0 , 0.6 ," 138,740 "," 7,273 ", 26.0 , 1.1 ," 273,612 "," 8,067 ", 51.2 , 1.3 
103,FL,Florida,15," 578,715 "," 14,070 "," 451,431 "," 11,945 ", 78.0 , 1.3 ," 84,991 "," 8,075 ", 14.7 , 1.3 ," 11,201 "," 2,125 ", 1.9 , 0.4 , N , N , N , N , N , N , N , N ," 14,806 "," 4,157 ", 2.6 , 0.7 ," 13,386 "," 2,252 ", 2.3 , 0.4 ," 103,755 "," 7,899 ", 17.9 , 1.3 ," 370,973 "," 12,659 ", 64.1 , 1.7 
104,FL,Florida,16," 638,769 "," 8,875 "," 552,361 "," 8,513 ", 86.5 , 0.8 ," 52,433 "," 4,585 ", 8.2 , 0.7 ," 10,649 "," 1,738 ", 1.7 , 0.3 , N , N , N , N , N , N , N , N ," 10,954 "," 2,987 ", 1.7 , 0.5 ," 10,038 "," 2,163 ", 1.6 , 0.3 ," 74,228 "," 5,709 ", 11.6 , 0.8 ," 493,256 "," 7,844 ", 77.2 , 1.0 
105,FL,Florida,17," 615,104 "," 10,351 "," 552,198 "," 10,944 ", 89.8 , 0.8 ," 39,303 "," 4,217 ", 6.4 , 0.7 ," 5,455 "," 1,297 ", 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 9,332 "," 2,913 ", 1.5 , 0.5 ," 7,256 "," 4,424 ", 1.2 , 0.7 ," 69,215 "," 5,578 ", 11.3 , 0.8 ," 494,198 "," 8,865 ", 80.3 , 0.9 
106,FL,Florida,18," 599,873 "," 10,324 "," 493,892 "," 8,582 ", 82.3 , 0.9 ," 70,096 "," 5,149 ", 11.7 , 0.8 ," 10,417 "," 2,349 ", 1.7 , 0.4 , N , N , N , N , N , N , N , N ," 10,979 "," 2,640 ", 1.8 , 0.4 ," 14,063 "," 3,159 ", 2.3 , 0.5 ," 75,180 "," 4,730 ", 12.5 , 0.7 ," 434,724 "," 7,755 ", 72.5 , 1.0 
107,FL,Florida,19," 631,233 "," 11,072 "," 560,813 "," 9,848 ", 88.8 , 0.8 ," 40,700 "," 4,013 ", 6.4 , 0.6 ," 10,868 "," 1,394 ", 1.7 , 0.2 , N , N , N , N , N , N , N , N ," 11,983 "," 3,336 ", 1.9 , 0.5 ," 5,755 "," 1,417 ", 0.9 , 0.2 ," 82,220 "," 6,258 ", 13.0 , 0.9 ," 493,017 "," 7,789 ", 78.1 , 0.9 
108,FL,Florida,20," 507,613 "," 13,423 "," 194,989 "," 11,765 ", 38.4 , 2.0 ," 267,487 "," 11,332 ", 52.7 , 1.9 ," 16,424 "," 4,174 ", 3.2 , 0.8 , N , N , N , N , N , N , N , N ," 13,700 "," 4,139 ", 2.7 , 0.8 ," 13,644 "," 2,631 ", 2.7 , 0.5 ," 112,325 "," 8,748 ", 22.1 , 1.5 ," 106,176 "," 7,080 ", 20.9 , 1.3 
109,FL,Florida,21," 546,101 "," 11,927 "," 442,544 "," 10,775 ", 81.0 , 1.2 ," 70,166 "," 6,996 ", 12.8 , 1.2 ," 14,383 "," 2,308 ", 2.6 , 0.4 , N , N , N , N , N , N , N , N ," 7,997 "," 2,110 ", 1.5 , 0.4 ," 9,671 "," 1,980 ", 1.8 , 0.4 ," 92,844 "," 5,891 ", 17.0 , 0.9 ," 362,151 "," 8,810 ", 66.3 , 1.3 
110,FL,Florida,22," 534,846 "," 11,346 "," 424,475 "," 10,076 ", 79.4 , 1.6 ," 73,958 "," 7,844 ", 13.8 , 1.3 ," 12,221 "," 2,676 ", 2.3 , 0.5 , N , N , N , N , N , N , N , N ," 12,100 "," 2,933 ", 2.3 , 0.5 ," 10,285 "," 3,000 ", 1.9 , 0.6 ," 90,007 "," 6,565 ", 16.8 , 1.1 ," 350,850 "," 9,579 ", 65.6 , 1.7 
111,FL,Florida,23," 510,212 "," 9,952 "," 376,188 "," 11,316 ", 73.7 , 1.8 ," 69,090 "," 7,453 ", 13.5 , 1.4 ," 22,271 "," 3,817 ", 4.4 , 0.7 , N , N , N , N , N , N , N , N ," 23,434 "," 4,782 ", 4.6 , 0.9 ," 15,871 "," 3,266 ", 3.1 , 0.6 ," 183,434 "," 8,884 ", 36.0 , 1.6 ," 227,022 "," 8,430 ", 44.5 , 1.5 
112,FL,Florida,24," 477,697 "," 12,311 "," 198,070 "," 10,295 ", 41.5 , 1.5 ," 237,909 "," 7,519 ", 49.8 , 1.4 ," 6,483 "," 1,954 ", 1.4 , 0.4 , N , N , N , N , N , N , N , N ," 26,447 "," 5,179 ", 5.5 , 1.1 ," 8,322 "," 2,001 ", 1.7 , 0.4 ," 178,950 "," 10,840 ", 37.5 , 1.6 ," 58,894 "," 4,268 ", 12.3 , 0.9 
