Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Men Estimate , Men Margin of error (MOE) , Men Percent of total , Men Percent of total margin of error (MOE) , Women Estimate , Women Margin of error (MOE) , Women Percent of total , Women Percent of total margin of error (MOE) ,Poverty universe1,Poverty universe margin of error (MOE), Below poverty level Estimate , Below poverty level Margin of error (MOE) , Below poverty level Percent of total , Below poverty level Percent of total margin of error (MOE) ,,,,,,,,,,,
308,OH,Ohio,9," 545,749 "," 8,394 "," 263,532 "," 5,216 ", 48.3 , 0.6 ," 282,217 "," 5,460 ", 51.7 , 0.6 ," 534,835 "," 8,753 "," 89,928 "," 4,942 ", 16.8 , 0.9 ,,,,,,,,,,,
309,OH,Ohio,10," 552,514 "," 2,402 "," 263,435 "," 1,576 ", 47.7 , 0.2 ," 289,079 "," 1,630 ", 52.3 , 0.2 ," 526,770 "," 3,839 "," 71,539 "," 4,635 ", 13.6 , 0.9 ,,,,,,,,,,,
310,OH,Ohio,11," 524,803 "," 8,831 "," 238,090 "," 5,160 ", 45.4 , 0.6 ," 286,713 "," 5,597 ", 54.6 , 0.6 ," 507,302 "," 8,615 "," 107,065 "," 6,607 ", 21.1 , 1.2 ,,,,,,,,,,,
311,OH,Ohio,12," 585,940 "," 7,173 "," 290,618 "," 4,182 ", 49.6 , 0.5 ," 295,322 "," 4,746 ", 50.4 , 0.5 ," 569,339 "," 7,359 "," 49,050 "," 4,566 ", 8.6 , 0.8 ,,,,,,,,,,,
312,OH,Ohio,13," 559,931 "," 7,719 "," 268,927 "," 5,171 ", 48.0 , 0.5 ," 291,004 "," 4,553 ", 52.0 , 0.5 ," 541,535 "," 8,375 "," 80,108 "," 5,390 ", 14.8 , 0.9 ,,,,,,,,,,,
313,OH,Ohio,14," 553,668 "," 6,479 "," 266,077 "," 4,672 ", 48.1 , 0.5 ," 287,591 "," 3,580 ", 51.9 , 0.5 ," 544,116 "," 6,583 "," 36,742 "," 3,973 ", 6.8 , 0.7 ,,,,,,,,,,,
314,OH,Ohio,15," 586,092 "," 6,358 "," 292,487 "," 4,276 ", 49.9 , 0.5 ," 293,605 "," 4,537 ", 50.1 , 0.5 ," 556,465 "," 6,391 "," 61,556 "," 5,446 ", 11.1 , 1.0 ,,,,,,,,,,,
315,OH,Ohio,16," 553,316 "," 8,332 "," 269,087 "," 5,634 ", 48.6 , 0.6 ," 284,229 "," 4,688 ", 51.4 , 0.6 ," 543,064 "," 8,165 "," 33,622 "," 3,327 ", 6.2 , 0.6 ,,,,,,,,,,,
316,OK,Oklahoma,1," 565,812 "," 2,986 "," 270,452 "," 1,944 ", 47.8 , 0.2 ," 295,360 "," 1,680 ", 52.2 , 0.2 ," 558,168 "," 3,080 "," 62,121 "," 3,911 ", 11.1 , 0.7 ,,,,,,,,,,,
317,OK,Oklahoma,2," 564,213 "," 2,174 "," 275,370 "," 1,612 ", 48.8 , 0.2 ," 288,843 "," 1,467 ", 51.2 , 0.2 ," 543,589 "," 2,345 "," 91,676 "," 4,235 ", 16.9 , 0.8 ,,,,,,,,,,,
318,OK,Oklahoma,3," 571,661 "," 2,631 "," 285,869 "," 2,638 ", 50.0 , 0.4 ," 285,792 "," 2,249 ", 50.0 , 0.4 ," 545,818 "," 3,254 "," 71,757 "," 3,998 ", 13.1 , 0.7 ,,,,,,,,,,,
319,OK,Oklahoma,4," 589,702 "," 4,619 "," 291,854 "," 3,261 ", 49.5 , 0.4 ," 297,848 "," 3,223 ", 50.5 , 0.4 ," 563,986 "," 5,630 "," 66,997 "," 4,660 ", 11.9 , 0.8 ,,,,,,,,,,,
320,OK,Oklahoma,5," 561,277 "," 5,517 "," 266,722 "," 3,705 ", 47.5 , 0.3 ," 294,555 "," 2,949 ", 52.5 , 0.3 ," 547,860 "," 5,932 "," 72,937 "," 5,364 ", 13.3 , 1.0 ,,,,,,,,,,,
321,OR,Oregon,1," 606,198 "," 6,201 "," 294,448 "," 3,825 ", 48.6 , 0.4 ," 311,750 "," 3,790 ", 51.4 , 0.4 ," 596,872 "," 6,086 "," 48,348 "," 3,990 ", 8.1 , 0.7 ,,,,,,,,,,,
322,OR,Oregon,2," 619,186 "," 4,754 "," 305,421 "," 3,329 ", 49.3 , 0.3 ," 313,765 "," 2,924 ", 50.7 , 0.3 ," 605,564 "," 4,930 "," 73,367 "," 4,712 ", 12.1 , 0.8 ,,,,,,,,,,,
323,OR,Oregon,3," 627,716 "," 5,932 "," 309,299 "," 4,346 ", 49.3 , 0.5 ," 318,417 "," 4,190 ", 50.7 , 0.5 ," 616,973 "," 6,051 "," 65,208 "," 4,395 ", 10.6 , 0.7 ,,,,,,,,,,,
324,OR,Oregon,4," 638,548 "," 5,000 "," 313,807 "," 3,212 ", 49.1 , 0.3 ," 324,741 "," 3,319 ", 50.9 , 0.3 ," 626,815 "," 5,306 "," 96,381 "," 5,557 ", 15.4 , 0.9 ,,,,,,,,,,,
325,OR,Oregon,5," 606,523 "," 6,245 "," 295,492 "," 3,812 ", 48.7 , 0.4 ," 311,031 "," 3,958 ", 51.3 , 0.4 ," 595,610 "," 6,522 "," 60,545 "," 4,545 ", 10.2 , 0.8 ,,,,,,,,,,,
326,PA,Pennsylvania,1," 544,860 "," 4,939 "," 264,421 "," 2,854 ", 48.5 , 0.3 ," 280,439 "," 3,031 ", 51.5 , 0.3 ," 537,518 "," 5,137 "," 27,607 "," 3,201 ", 5.1 , 0.6 ,,,,,,,,,,,
327,PA,Pennsylvania,2," 496,510 "," 12,153 "," 234,087 "," 7,949 ", 47.1 , 0.9 ," 262,423 "," 7,222 ", 52.9 , 0.9 ," 487,446 "," 11,896 "," 105,114 "," 7,563 ", 21.6 , 1.5 ,,,,,,,,,,,
328,PA,Pennsylvania,3," 564,612 "," 11,678 "," 253,086 "," 8,663 ", 44.8 , 0.9 ," 311,526 "," 6,429 ", 55.2 , 0.9 ," 538,968 "," 11,018 "," 113,844 "," 9,060 ", 21.1 , 1.6 ,,,,,,,,,,,
329,PA,Pennsylvania,4," 543,723 "," 4,822 "," 260,436 "," 3,175 ", 47.9 , 0.3 ," 283,287 "," 2,790 ", 52.1 , 0.3 ," 528,636 "," 5,093 "," 28,462 "," 3,113 ", 5.4 , 0.6 ,,,,,,,,,,,
330,PA,Pennsylvania,5," 519,983 "," 6,115 "," 243,516 "," 3,936 ", 46.8 , 0.5 ," 276,467 "," 4,298 ", 53.2 , 0.5 ," 498,676 "," 6,147 "," 45,199 "," 4,064 ", 9.1 , 0.8 ,,,,,,,,,,,
331,PA,Pennsylvania,6," 522,912 "," 4,827 "," 252,469 "," 3,426 ", 48.3 , 0.4 ," 270,443 "," 3,170 ", 51.7 , 0.4 ," 507,935 "," 5,382 "," 39,976 "," 4,110 ", 7.9 , 0.8 ,,,,,,,,,,,
332,PA,Pennsylvania,7," 552,078 "," 4,662 "," 267,694 "," 2,749 ", 48.5 , 0.3 ," 284,384 "," 3,132 ", 51.5 , 0.3 ," 533,234 "," 4,905 "," 53,161 "," 5,042 ", 10.0 , 0.9 ,,,,,,,,,,,
333,PA,Pennsylvania,8," 535,133 "," 5,536 "," 261,619 "," 3,280 ", 48.9 , 0.4 ," 273,514 "," 3,607 ", 51.1 , 0.4 ," 516,034 "," 5,925 "," 59,557 "," 4,825 ", 11.5 , 0.9 ,,,,,,,,,,,
334,PA,Pennsylvania,9," 555,775 "," 5,005 "," 277,295 "," 3,543 ", 49.9 , 0.4 ," 278,480 "," 2,765 ", 50.1 , 0.4 ," 528,749 "," 5,803 "," 49,237 "," 3,694 ", 9.3 , 0.7 ,,,,,,,,,,,
335,PA,Pennsylvania,10," 552,761 "," 5,816 "," 266,462 "," 3,427 ", 48.2 , 0.4 ," 286,299 "," 3,596 ", 51.8 , 0.4 ," 531,726 "," 6,384 "," 46,291 "," 4,124 ", 8.7 , 0.8 ,,,,,,,,,,,
336,PA,Pennsylvania,11," 553,568 "," 5,995 "," 269,825 "," 3,504 ", 48.7 , 0.3 ," 283,743 "," 3,613 ", 51.3 , 0.3 ," 543,005 "," 6,030 "," 37,367 "," 3,419 ", 6.9 , 0.6 ,,,,,,,,,,,
337,PA,Pennsylvania,12," 551,022 "," 3,977 "," 273,160 "," 3,224 ", 49.6 , 0.4 ," 277,862 "," 2,517 ", 50.4 , 0.4 ," 516,051 "," 4,837 "," 66,048 "," 3,846 ", 12.8 , 0.7 ,,,,,,,,,,,
338,PA,Pennsylvania,13," 545,111 "," 3,919 "," 268,312 "," 2,760 ", 49.2 , 0.4 ," 276,799 "," 3,151 ", 50.8 , 0.4 ," 523,708 "," 4,594 "," 52,637 "," 4,644 ", 10.1 , 0.9 ,,,,,,,,,,,
339,PA,Pennsylvania,14," 551,164 "," 2,665 "," 268,241 "," 1,759 ", 48.7 , 0.2 ," 282,923 "," 1,499 ", 51.3 , 0.2 ," 534,212 "," 3,132 "," 50,791 "," 3,317 ", 9.5 , 0.6 ,,,,,,,,,,,
340,PA,Pennsylvania,15," 548,615 "," 4,573 "," 278,000 "," 2,958 ", 50.7 , 0.3 ," 270,615 "," 2,930 ", 49.3 , 0.3 ," 519,562 "," 4,878 "," 57,901 "," 2,724 ", 11.1 , 0.5 ,,,,,,,,,,,
341,PA,Pennsylvania,16," 539,710 "," 2,919 "," 262,719 "," 1,887 ", 48.7 , 0.2 ," 276,991 "," 1,865 ", 51.3 , 0.2 ," 513,587 "," 3,943 "," 64,498 "," 4,109 ", 12.6 , 0.8 ,,,,,,,,,,,
342,PA,Pennsylvania,17," 559,285 "," 6,462 "," 270,617 "," 4,014 ", 48.4 , 0.5 ," 288,668 "," 4,516 ", 51.6 , 0.5 ," 552,462 "," 6,327 "," 41,481 "," 3,672 ", 7.5 , 0.7 ,,,,,,,,,,,
343,PA,Pennsylvania,18," 544,390 "," 6,168 "," 254,384 "," 3,810 ", 46.7 , 0.5 ," 290,006 "," 4,548 ", 53.3 , 0.5 ," 522,202 "," 5,985 "," 71,545 "," 4,734 ", 13.7 , 0.9 ,,,,,,,,,,,
344,RI,Rhode Island,1," 395,409 "," 6,058 "," 188,916 "," 4,124 ", 47.8 , 0.9 ," 206,493 "," 4,922 ", 52.2 , 0.9 ," 376,196 "," 6,338 "," 49,877 "," 4,549 ", 13.3 , 1.2 ,,,,,,,,,,,
345,RI,Rhode Island,2," 407,668 "," 6,982 "," 195,852 "," 4,384 ", 48.0 , 0.7 ," 211,816 "," 4,631 ", 52.0 , 0.7 ," 391,434 "," 7,207 "," 33,551 "," 3,562 ", 8.6 , 0.9 ,,,,,,,,,,,
346,SC,South Carolina,1," 613,912 "," 6,942 "," 295,032 "," 4,465 ", 48.1 , 0.5 ," 318,880 "," 4,672 ", 51.9 , 0.5 ," 605,071 "," 6,550 "," 53,615 "," 5,615 ", 8.9 , 0.9 ,,,,,,,,,,,
347,SC,South Carolina,2," 537,342 "," 7,030 "," 255,658 "," 4,453 ", 47.6 , 0.6 ," 281,684 "," 4,799 ", 52.4 , 0.6 ," 520,411 "," 7,341 "," 57,271 "," 5,196 ", 11.0 , 1.0 ,,,,,,,,,,,
348,SC,South Carolina,3," 534,772 "," 4,868 "," 258,621 "," 3,280 ", 48.4 , 0.3 ," 276,151 "," 2,586 ", 51.6 , 0.3 ," 517,074 "," 5,325 "," 70,663 "," 6,068 ", 13.7 , 1.2 ,,,,,,,,,,,
349,SC,South Carolina,4," 533,533 "," 6,329 "," 251,842 "," 3,977 ", 47.2 , 0.4 ," 281,691 "," 3,467 ", 52.8 , 0.4 ," 518,231 "," 6,630 "," 50,729 "," 4,931 ", 9.8 , 0.9 ,,,,,,,,,,,
350,SC,South Carolina,5," 552,247 "," 4,381 "," 262,084 "," 2,807 ", 47.5 , 0.3 ," 290,163 "," 2,530 ", 52.5 , 0.3 ," 541,112 "," 4,759 "," 65,432 "," 5,713 ", 12.1 , 1.1 ,,,,,,,,,,,
351,SC,South Carolina,6," 506,843 "," 10,563 "," 241,997 "," 6,623 ", 47.7 , 0.8 ," 264,846 "," 6,763 ", 52.3 , 0.8 ," 469,768 "," 10,341 "," 95,495 "," 6,619 ", 20.3 , 1.3 ,,,,,,,,,,,
352,SC,South Carolina,7," 571,428 "," 3,454 "," 265,082 "," 2,561 ", 46.4 , 0.3 ," 306,346 "," 2,484 ", 53.6 , 0.3 ," 558,493 "," 3,958 "," 89,683 "," 6,932 ", 16.1 , 1.3 ,,,,,,,,,,,
353,SD,South Dakota,At-large," 647,089 "," 2,674 "," 323,519 "," 2,541 ", 50.0 , 0.3 ," 323,570 "," 2,557 ", 50.0 , 0.3 ," 623,323 "," 2,687 "," 73,236 "," 4,619 ", 11.7 , 0.7 ,,,,,,,,,,,
354,TN,Tennessee,1," 563,918 "," 3,157 "," 271,986 "," 2,304 ", 48.2 , 0.3 ," 291,932 "," 2,092 ", 51.8 , 0.3 ," 549,414 "," 4,316 "," 75,115 "," 5,167 ", 13.7 , 0.9 ,,,,,,,,,,,
355,TN,Tennessee,2," 583,056 "," 3,129 "," 278,806 "," 2,184 ", 47.8 , 0.2 ," 304,250 "," 2,075 ", 52.2 , 0.2 ," 568,291 "," 4,005 "," 67,235 "," 6,014 ", 11.8 , 1.0 ,,,,,,,,,,,
356,TN,Tennessee,3," 571,456 "," 3,926 "," 274,322 "," 2,765 ", 48.0 , 0.3 ," 297,134 "," 2,530 ", 52.0 , 0.3 ," 554,284 "," 4,447 "," 73,597 "," 5,867 ", 13.3 , 1.0 ,,,,,,,,,,,
357,TN,Tennessee,4," 590,540 "," 4,743 "," 284,223 "," 3,165 ", 48.1 , 0.4 ," 306,317 "," 3,170 ", 51.9 , 0.4 ," 576,455 "," 4,853 "," 71,929 "," 5,418 ", 12.5 , 0.9 ,,,,,,,,,,,
358,TN,Tennessee,5," 563,797 "," 5,435 "," 267,201 "," 3,691 ", 47.4 , 0.4 ," 296,596 "," 3,013 ", 52.6 , 0.4 ," 545,555 "," 6,250 "," 62,163 "," 5,218 ", 11.4 , 1.0 ,,,,,,,,,,,
359,TN,Tennessee,6," 591,603 "," 3,690 "," 286,118 "," 2,013 ", 48.4 , 0.3 ," 305,485 "," 3,045 ", 51.6 , 0.3 ," 580,485 "," 4,723 "," 63,405 "," 4,619 ", 10.9 , 0.8 ,,,,,,,,,,,
360,TN,Tennessee,7," 578,288 "," 3,700 "," 283,131 "," 2,537 ", 49.0 , 0.3 ," 295,157 "," 2,241 ", 51.0 , 0.3 ," 561,453 "," 3,996 "," 61,291 "," 5,044 ", 10.9 , 0.9 ,,,,,,,,,,,
361,TN,Tennessee,8," 525,277 "," 4,889 "," 252,231 "," 3,086 ", 48.0 , 0.4 ," 273,046 "," 3,307 ", 52.0 , 0.4 ," 508,600 "," 4,988 "," 59,907 "," 4,084 ", 11.8 , 0.8 ,,,,,,,,,,,
362,TN,Tennessee,9," 507,231 "," 5,835 "," 229,788 "," 3,791 ", 45.3 , 0.4 ," 277,443 "," 3,396 ", 54.7 , 0.4 ," 494,516 "," 5,872 "," 104,034 "," 7,885 ", 21.0 , 1.7 ,,,,,,,,,,,
363,TX,Texas,1," 511,974 "," 4,743 "," 243,891 "," 2,733 ", 47.6 , 0.3 ," 268,083 "," 2,911 ", 52.4 , 0.3 ," 489,794 "," 5,639 "," 66,257 "," 6,366 ", 13.5 , 1.3 ,,,,,,,,,,,
364,TX,Texas,2," 520,180 "," 17,389 "," 252,870 "," 10,292 ", 48.6 , 1.1 ," 267,310 "," 10,500 ", 51.4 , 1.1 ," 513,178 "," 17,338 "," 45,949 "," 6,107 ", 9.0 , 1.2 ,,,,,,,,,,,
365,TX,Texas,3," 563,318 "," 7,999 "," 267,900 "," 4,675 ", 47.6 , 0.4 ," 295,418 "," 4,751 ", 52.4 , 0.4 ," 559,484 "," 8,399 "," 31,157 "," 4,492 ", 5.6 , 0.8 ,,,,,,,,,,,
366,TX,Texas,4," 543,354 "," 5,315 "," 264,225 "," 3,406 ", 48.6 , 0.3 ," 279,129 "," 2,971 ", 51.4 , 0.3 ," 527,224 "," 6,145 "," 60,598 "," 5,055 ", 11.5 , 1.0 ,,,,,,,,,,,
367,TX,Texas,5," 480,610 "," 7,387 "," 237,717 "," 4,818 ", 49.5 , 0.7 ," 242,893 "," 4,964 ", 50.5 , 0.7 ," 457,691 "," 7,441 "," 49,171 "," 4,898 ", 10.7 , 1.1 ,,,,,,,,,,,
368,TX,Texas,6," 554,709 "," 11,109 "," 265,398 "," 6,613 ", 47.8 , 0.7 ," 289,311 "," 6,987 ", 52.2 , 0.7 ," 548,599 "," 11,066 "," 40,104 "," 4,702 ", 7.3 , 0.8 ,,,,,,,,,,,
369,TX,Texas,7," 448,262 "," 17,967 "," 209,156 "," 10,672 ", 46.7 , 1.2 ," 239,106 "," 10,307 ", 53.3 , 1.2 ," 447,412 "," 17,919 "," 32,347 "," 4,461 ", 7.2 , 1.0 ,,,,,,,,,,,
370,TX,Texas,8," 584,039 "," 8,995 "," 292,242 "," 5,444 ", 50.0 , 0.5 ," 291,797 "," 5,241 ", 50.0 , 0.5 ," 554,256 "," 10,002 "," 51,546 "," 5,780 ", 9.3 , 1.1 ,,,,,,,,,,,
371,TX,Texas,9," 445,634 "," 16,319 "," 211,591 "," 9,498 ", 47.5 , 1.2 ," 234,043 "," 10,169 ", 52.5 , 1.2 ," 443,690 "," 16,362 "," 60,975 "," 7,760 ", 13.7 , 1.6 ,,,,,,,,,,,
372,TX,Texas,10," 593,629 "," 15,051 "," 288,737 "," 9,089 ", 48.6 , 0.9 ," 304,892 "," 9,243 ", 51.4 , 0.9 ," 583,103 "," 14,935 "," 45,323 "," 5,926 ", 7.8 , 1.0 ,,,,,,,,,,,
373,TX,Texas,11," 542,570 "," 6,851 "," 270,606 "," 4,382 ", 49.9 , 0.5 ," 271,964 "," 4,120 ", 50.1 , 0.5 ," 524,915 "," 7,544 "," 56,229 "," 5,615 ", 10.7 , 1.0 ,,,,,,,,,,,
374,TX,Texas,12," 572,411 "," 11,504 "," 275,420 "," 8,143 ", 48.1 , 0.8 ," 296,991 "," 6,009 ", 51.9 , 0.8 ," 560,045 "," 11,963 "," 51,359 "," 6,692 ", 9.2 , 1.2 ,,,,,,,,,,,
375,TX,Texas,13," 493,390 "," 5,774 "," 251,525 "," 3,179 ", 51.0 , 0.4 ," 241,865 "," 3,680 ", 49.0 , 0.4 ," 462,703 "," 6,732 "," 54,698 "," 4,278 ", 11.8 , 0.9 ,,,,,,,,,,,
376,TX,Texas,14," 532,153 "," 6,811 "," 266,577 "," 4,336 ", 50.1 , 0.4 ," 265,576 "," 3,971 ", 49.9 , 0.4 ," 501,418 "," 7,635 "," 55,633 "," 6,290 ", 11.1 , 1.3 ,,,,,,,,,,,
377,TX,Texas,15," 435,170 "," 10,959 "," 216,790 "," 6,902 ", 49.8 , 0.8 ," 218,380 "," 6,223 ", 50.2 , 0.8 ," 423,944 "," 11,026 "," 69,316 "," 7,398 ", 16.4 , 1.7 ,,,,,,,,,,,
378,TX,Texas,16," 458,940 "," 7,531 "," 227,861 "," 4,525 ", 49.6 , 0.6 ," 231,079 "," 4,547 ", 50.4 , 0.6 ," 446,926 "," 8,078 "," 66,463 "," 6,036 ", 14.9 , 1.3 ,,,,,,,,,,,
379,TX,Texas,17," 550,601 "," 9,229 "," 266,019 "," 5,806 ", 48.3 , 0.7 ," 284,582 "," 6,349 ", 51.7 , 0.7 ," 522,495 "," 9,281 "," 86,479 "," 5,768 ", 16.6 , 1.1 ,,,,,,,,,,,
380,TX,Texas,18," 480,387 "," 17,751 "," 233,867 "," 11,698 ", 48.7 , 1.2 ," 246,520 "," 9,029 ", 51.3 , 1.2 ," 462,858 "," 16,833 "," 75,981 "," 7,084 ", 16.4 , 1.5 ,,,,,,,,,,,
381,TX,Texas,19," 509,891 "," 4,649 "," 253,073 "," 3,163 ", 49.6 , 0.4 ," 256,818 "," 3,102 ", 50.4 , 0.4 ," 478,854 "," 4,985 "," 73,898 "," 5,936 ", 15.4 , 1.2 ,,,,,,,,,,,
382,TX,Texas,20," 549,483 "," 15,793 "," 266,701 "," 10,492 ", 48.5 , 0.9 ," 282,782 "," 7,714 ", 51.5 , 0.9 ," 538,664 "," 16,051 "," 78,203 "," 7,590 ", 14.5 , 1.3 ,,,,,,,,,,,
383,TX,Texas,21," 622,228 "," 13,955 "," 300,234 "," 8,254 ", 48.3 , 0.8 ," 321,994 "," 8,651 ", 51.7 , 0.8 ," 609,561 "," 13,635 "," 62,856 "," 5,760 ", 10.3 , 0.9 ,,,,,,,,,,,
384,TX,Texas,22," 577,164 "," 14,484 "," 283,653 "," 7,829 ", 49.1 , 0.8 ," 293,511 "," 9,498 ", 50.9 , 0.8 ," 572,542 "," 14,648 "," 37,033 "," 7,807 ", 6.5 , 1.3 ,,,,,,,,,,,
385,TX,Texas,23," 507,547 "," 12,255 "," 255,762 "," 7,813 ", 50.4 , 1.0 ," 251,785 "," 8,030 ", 49.6 , 1.0 ," 495,087 "," 12,209 "," 64,674 "," 6,895 ", 13.1 , 1.4 ,,,,,,,,,,,
386,TX,Texas,24," 503,766 "," 10,913 "," 241,559 "," 7,603 ", 48.0 , 0.8 ," 262,207 "," 6,113 ", 52.0 , 0.8 ," 501,043 "," 10,945 "," 27,589 "," 4,174 ", 5.5 , 0.8 ,,,,,,,,,,,
387,TX,Texas,25," 570,238 "," 11,587 "," 286,160 "," 6,927 ", 50.2 , 0.7 ," 284,078 "," 7,073 ", 49.8 , 0.7 ," 538,733 "," 10,766 "," 49,268 "," 5,006 ", 9.1 , 0.9 ,,,,,,,,,,,
388,TX,Texas,26," 605,249 "," 8,073 "," 293,998 "," 5,758 ", 48.6 , 0.6 ," 311,251 "," 4,859 ", 51.4 , 0.6 ," 596,433 "," 8,198 "," 37,984 "," 5,516 ", 6.4 , 0.9 ,,,,,,,,,,,
389,TX,Texas,27," 517,267 "," 6,497 "," 249,089 "," 4,132 ", 48.2 , 0.5 ," 268,178 "," 4,436 ", 51.8 , 0.5 ," 504,347 "," 6,896 "," 66,523 "," 6,190 ", 13.2 , 1.2 ,,,,,,,,,,,
390,TX,Texas,28," 434,305 "," 11,134 "," 211,486 "," 7,214 ", 48.7 , 0.8 ," 222,819 "," 5,872 ", 51.3 , 0.8 ," 431,020 "," 11,192 "," 71,215 "," 6,928 ", 16.5 , 1.6 ,,,,,,,,,,,
391,TX,Texas,29," 369,239 "," 12,870 "," 184,052 "," 7,970 ", 49.8 , 1.2 ," 185,187 "," 7,646 ", 50.2 , 1.2 ," 368,373 "," 12,863 "," 53,056 "," 5,620 ", 14.4 , 1.5 ,,,,,,,,,,,
392,TX,Texas,30," 479,082 "," 11,936 "," 226,629 "," 7,811 ", 47.3 , 0.9 ," 252,453 "," 6,827 ", 52.7 , 0.9 ," 466,444 "," 11,923 "," 80,570 "," 8,511 ", 17.3 , 1.7 ,,,,,,,,,,,
393,TX,Texas,31," 602,236 "," 5,813 "," 291,279 "," 3,886 ", 48.4 , 0.4 ," 310,957 "," 3,949 ", 51.6 , 0.4 ," 588,627 "," 5,935 "," 45,276 "," 4,776 ", 7.7 , 0.8 ,,,,,,,,,,,
394,TX,Texas,32," 505,867 "," 10,389 "," 241,389 "," 6,659 ", 47.7 , 0.8 ," 264,478 "," 6,678 ", 52.3 , 0.8 ," 501,485 "," 10,397 "," 33,312 "," 3,985 ", 6.6 , 0.8 ,,,,,,,,,,,
395,TX,Texas,33," 360,226 "," 12,748 "," 177,253 "," 7,580 ", 49.2 , 1.2 ," 182,973 "," 7,871 ", 50.8 , 1.2 ," 356,444 "," 12,894 "," 57,028 "," 5,306 ", 16.0 , 1.3 ,,,,,,,,,,,
396,TX,Texas,34," 424,863 "," 9,876 "," 210,491 "," 6,216 ", 49.5 , 0.9 ," 214,372 "," 6,097 ", 50.5 , 0.9 ," 410,889 "," 10,172 "," 76,627 "," 6,478 ", 18.6 , 1.4 ,,,,,,,,,,,
397,TX,Texas,35," 532,967 "," 13,421 "," 267,072 "," 8,036 ", 50.1 , 1.0 ," 265,895 "," 8,856 ", 49.9 , 1.0 ," 519,488 "," 13,720 "," 89,634 "," 7,286 ", 17.3 , 1.3 ,,,,,,,,,,,
398,TX,Texas,36," 519,385 "," 9,934 "," 256,534 "," 6,061 ", 49.4 , 0.6 ," 262,851 "," 5,776 ", 50.6 , 0.6 ," 500,765 "," 9,912 "," 53,382 "," 4,697 ", 10.7 , 0.9 ,,,,,,,,,,,
399,UT,Utah,1," 521,517 "," 4,200 "," 261,025 "," 2,542 ", 50.1 , 0.3 ," 260,492 "," 2,743 ", 49.9 , 0.3 ," 515,287 "," 4,854 "," 40,922 "," 3,791 ", 7.9 , 0.7 ,,,,,,,,,,,
400,UT,Utah,2," 529,608 "," 7,295 "," 266,242 "," 4,825 ", 50.3 , 0.6 ," 263,366 "," 4,576 ", 49.7 , 0.6 ," 518,139 "," 7,495 "," 54,116 "," 5,689 ", 10.4 , 1.0 ,,,,,,,,,,,
401,UT,Utah,3," 517,848 "," 6,002 "," 257,021 "," 3,872 ", 49.6 , 0.5 ," 260,827 "," 3,899 ", 50.4 , 0.5 ," 505,535 "," 6,066 "," 48,167 "," 4,473 ", 9.5 , 0.9 ,,,,,,,,,,,
402,UT,Utah,4," 518,368 "," 8,401 "," 257,209 "," 5,630 ", 49.6 , 0.7 ," 261,159 "," 5,334 ", 50.4 , 0.7 ," 513,240 "," 8,412 "," 27,894 "," 4,049 ", 5.4 , 0.8 ,,,,,,,,,,,
403,VT,Vermont,At-large," 500,274 "," 2,062 "," 244,517 "," 1,696 ", 48.9 , 0.2 ," 255,757 "," 1,525 ", 51.1 , 0.2 ," 478,729 "," 1,985 "," 51,013 "," 4,008 ", 10.7 , 0.8 ,,,,,,,,,,,
404,VA,Virginia,1," 590,281 "," 8,602 "," 288,174 "," 5,593 ", 48.8 , 0.5 ," 302,107 "," 4,531 ", 51.2 , 0.5 ," 575,553 "," 8,616 "," 32,713 "," 3,639 ", 5.7 , 0.6 ,,,,,,,,,,,
405,VA,Virginia,2," 559,397 "," 6,204 "," 278,026 "," 4,590 ", 49.7 , 0.5 ," 281,371 "," 3,685 ", 50.3 , 0.5 ," 525,667 "," 6,362 "," 39,039 "," 3,965 ", 7.4 , 0.7 ,,,,,,,,,,,
406,VA,Virginia,3," 559,137 "," 7,090 "," 265,323 "," 4,317 ", 47.5 , 0.5 ," 293,814 "," 4,623 ", 52.5 , 0.5 ," 534,234 "," 7,934 "," 67,289 "," 5,599 ", 12.6 , 1.0 ,,,,,,,,,,,
407,VA,Virginia,4," 579,606 "," 9,665 "," 277,950 "," 5,814 ", 48.0 , 0.5 ," 301,656 "," 5,259 ", 52.0 , 0.5 ," 552,122 "," 9,935 "," 69,142 "," 6,671 ", 12.5 , 1.1 ,,,,,,,,,,,
408,VA,Virginia,5," 578,531 "," 7,084 "," 277,524 "," 4,490 ", 48.0 , 0.4 ," 301,007 "," 3,891 ", 52.0 , 0.4 ," 549,679 "," 8,107 "," 71,010 "," 5,306 ", 12.9 , 1.0 ,,,,,,,,,,,
409,VA,Virginia,6," 582,756 "," 4,662 "," 278,155 "," 3,355 ", 47.7 , 0.4 ," 304,601 "," 2,805 ", 52.3 , 0.4 ," 551,076 "," 5,646 "," 74,487 "," 4,871 ", 13.5 , 0.9 ,,,,,,,,,,,
410,VA,Virginia,7," 588,061 "," 8,567 "," 278,885 "," 5,222 ", 47.4 , 0.5 ," 309,176 "," 5,142 ", 52.6 , 0.5 ," 579,054 "," 8,317 "," 42,425 "," 5,025 ", 7.3 , 0.9 ,,,,,,,,,,,
