Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Men Estimate , Men Margin of error (MOE) , Men Percent of total , Men Percent of total margin of error (MOE) , Women Estimate , Women Margin of error (MOE) , Women Percent of total , Women Percent of total margin of error (MOE) ,Poverty universe1,Poverty universe margin of error (MOE), Below poverty level Estimate , Below poverty level Margin of error (MOE) , Below poverty level Percent of total , Below poverty level Percent of total margin of error (MOE) ,,,,,,,,,,,
90,FL,Florida,2," 573,718 "," 6,050 "," 290,954 "," 3,946 ", 50.7 , 0.5 ," 282,764 "," 4,508 ", 49.3 , 0.5 ," 531,429 "," 6,373 "," 71,752 "," 6,382 ", 13.5 , 1.2 ,,,,,,,,,,,
91,FL,Florida,3," 579,993 "," 6,726 "," 282,160 "," 3,716 ", 48.6 , 0.5 ," 297,833 "," 4,988 ", 51.4 , 0.5 ," 550,065 "," 7,444 "," 81,167 "," 6,446 ", 14.8 , 1.1 ,,,,,,,,,,,
92,FL,Florida,4," 614,794 "," 10,052 "," 301,588 "," 5,504 ", 49.1 , 0.6 ," 313,206 "," 6,728 ", 50.9 , 0.6 ," 600,574 "," 10,297 "," 46,523 "," 4,814 ", 7.7 , 0.8 ,,,,,,,,,,,
93,FL,Florida,5," 541,992 "," 11,225 "," 254,528 "," 6,598 ", 47.0 , 0.7 ," 287,464 "," 6,806 ", 53.0 , 0.7 ," 515,909 "," 11,422 "," 99,897 "," 6,558 ", 19.4 , 1.2 ,,,,,,,,,,,
94,FL,Florida,6," 621,566 "," 6,917 "," 296,982 "," 4,025 ", 47.8 , 0.4 ," 324,584 "," 4,533 ", 52.2 , 0.4 ," 612,618 "," 7,043 "," 67,142 "," 5,845 ", 11.0 , 0.9 ,,,,,,,,,,,
95,FL,Florida,7," 581,583 "," 10,621 "," 282,311 "," 7,183 ", 48.5 , 0.7 ," 299,272 "," 6,201 ", 51.5 , 0.7 ," 558,487 "," 11,139 "," 63,702 "," 5,604 ", 11.4 , 0.9 ,,,,,,,,,,,
96,FL,Florida,8," 610,604 "," 4,145 "," 293,057 "," 2,998 ", 48.0 , 0.4 ," 317,547 "," 3,102 ", 52.0 , 0.4 ," 604,434 "," 4,807 "," 56,876 "," 5,839 ", 9.4 , 1.0 ,,,,,,,,,,,
97,FL,Florida,9," 644,898 "," 15,477 "," 313,560 "," 8,912 ", 48.6 , 0.7 ," 331,338 "," 8,962 ", 51.4 , 0.7 ," 637,713 "," 15,557 "," 72,873 "," 8,553 ", 11.4 , 1.3 ,,,,,,,,,,,
98,FL,Florida,10," 546,157 "," 12,769 "," 262,516 "," 7,861 ", 48.1 , 0.9 ," 283,641 "," 7,965 ", 51.9 , 0.9 ," 539,800 "," 12,975 "," 70,483 "," 7,945 ", 13.1 , 1.4 ,,,,,,,,,,,
99,FL,Florida,11," 652,135 "," 10,786 "," 313,750 "," 5,452 ", 48.1 , 0.5 ," 338,385 "," 7,043 ", 51.9 , 0.5 ," 637,176 "," 10,642 "," 69,985 "," 5,622 ", 11.0 , 0.9 ,,,,,,,,,,,
